PriceGasPower,PriceElectricPowerConstant,PriceElectricPowerDynamic,PriceElectricPowerHighlyDynamic,time
7.2171,0.0282,0.0282,0.0282,0.0
7.2171,0.0282,0.0282,0.0282,3600.0
7.2171,0.0282,0.0282,0.0282,7200.0
7.2171,0.0282,0.0282,0.0282,10800.0
7.2171,0.0282,0.0282,0.0282,14400.0
7.2171,0.0282,0.0282,0.0282,18000.0
7.2171,0.0282,0.0282,0.0282,21600.0
7.2171,0.0282,0.0282,0.0282,25200.0
7.2171,0.0282,0.0282,0.0282,28800.0
7.2171,0.0282,0.0282,0.0282,32400.0
7.2171,0.0282,0.0282,0.0282,36000.0
7.2171,0.0282,0.0282,0.0282,39600.0
7.2171,0.0282,0.0282,0.0282,43200.0
7.2171,0.0282,0.0282,0.0282,46800.0
7.2171,0.0282,0.0282,0.0282,50400.0
7.2171,0.0282,0.0282,0.0282,54000.0
7.2171,0.0282,0.0282,0.0282,57600.0
7.2171,0.0282,0.0282,0.0282,61200.0
7.2171,0.0282,0.0282,0.0282,64800.0
7.2171,0.0282,0.0282,0.0282,68400.0
7.2171,0.0282,0.0282,0.0282,72000.0
7.2171,0.0282,0.0282,0.0282,75600.0
7.2171,0.0282,0.0282,0.0282,79200.0
7.2171,0.0282,0.0282,0.0282,82800.0
7.2171,0.0282,0.0282,0.0282,86400.0
7.2171,0.0282,0.0282,0.0282,90000.0
7.2171,0.0282,0.0282,0.0282,93600.0
7.2171,0.0282,0.0282,0.0282,97200.0
7.2171,0.0282,0.0282,0.0282,100800.0
7.2171,0.0282,0.0282,0.0282,104400.0
7.2171,0.0282,0.0282,0.0282,108000.0
7.2171,0.0282,0.0282,0.0282,111600.0
7.2171,0.0282,0.0282,0.0282,115200.0
7.2171,0.0282,0.0282,0.0282,118800.0
7.2171,0.0282,0.0282,0.0282,122400.0
7.2171,0.0282,0.0282,0.0282,126000.0
7.2171,0.0282,0.0282,0.0282,129600.0
7.2171,0.0282,0.0282,0.0282,133200.0
7.2171,0.0282,0.0282,0.0282,136800.0
7.2171,0.0282,0.0282,0.0282,140400.0
7.2171,0.0282,0.0282,0.0282,144000.0
7.2171,0.0282,0.0282,0.0282,147600.0
7.2171,0.0282,0.0282,0.0282,151200.0
7.2171,0.0282,0.0282,0.0282,154800.0
