TDryBul,TDewPoi,relHum,pAtm,HHorIR,HGloHor,HDirNor,HDifHor,winDir,winSpe,nTot,nOpa,ceiHei,time
-7.0,-8.5,88.0,83400.0,0.0,0.0,0.0,0.0,230.0,1.5,10.0,8.0,77777.0,0.0
-7.2,-8.3,91.0,83400.0,0.0,0.0,0.0,0.0,220.0,1.5,10.0,8.0,1128.0,3600.0
-8.1,-8.8,94.0,83400.0,0.0,0.0,0.0,0.0,210.0,1.5,7.0,6.0,1128.0,7200.0
-9.1,-9.4,97.0,83400.0,0.0,0.0,0.0,0.0,210.0,1.5,5.0,4.0,1128.0,10800.0
-10.0,-10.0,100.0,83300.0,0.0,0.0,0.0,0.0,200.0,1.5,2.0,2.0,77777.0,14400.0
-10.0,-10.1,99.0,83400.0,0.0,0.0,0.0,0.0,210.0,1.0,4.0,2.0,77777.0,18000.0
-10.0,-10.3,97.0,83500.0,0.0,0.0,0.0,0.0,220.0,0.5,6.0,2.0,77777.0,21600.0
-10.0,-10.6,96.0,83600.0,71.0,24.0,69.0,18.0,0.0,0.0,8.0,2.0,77777.0,25200.0
-8.0,-10.0,84.0,83600.0,239.0,117.0,262.0,73.0,0.0,0.0,8.0,4.0,77777.0,28800.0
-5.9,-9.7,72.0,83600.0,425.0,192.0,175.0,139.0,0.0,0.0,9.0,7.0,77777.0,32400.0
-3.9,-10.6,60.0,83600.0,559.0,185.0,90.0,149.0,0.0,0.0,9.0,9.0,4572.0,36000.0
-3.5,-10.2,56.0,83500.0,630.0,285.0,186.0,202.0,280.0,0.7,8.0,7.0,4572.0,39600.0
-3.2,-10.5,53.0,83500.0,635.0,275.0,250.0,163.0,290.0,1.4,6.0,6.0,4572.0,43200.0
-2.8,-12.2,49.0,83400.0,572.0,437.0,775.0,123.0,300.0,2.1,5.0,4.0,77777.0,46800.0
-4.1,-11.2,54.0,83500.0,446.0,253.0,474.0,104.0,270.0,1.9,4.0,3.0,77777.0,50400.0
-5.4,-11.2,60.0,83500.0,266.0,149.0,492.0,56.0,250.0,1.7,2.0,2.0,77777.0,54000.0
-6.7,-12.2,65.0,83500.0,86.0,33.0,170.0,18.0,220.0,1.5,1.0,1.0,77777.0,57600.0
-8.0,-12.5,67.0,83500.0,0.0,0.0,0.0,0.0,210.0,2.2,1.0,1.0,77777.0,61200.0
-9.3,-13.6,68.0,83500.0,0.0,0.0,0.0,0.0,200.0,2.9,1.0,1.0,77777.0,64800.0
-10.6,-15.0,70.0,83600.0,0.0,0.0,0.0,0.0,190.0,3.6,1.0,1.0,77777.0,68400.0
-10.6,-14.7,69.0,83600.0,0.0,0.0,0.0,0.0,190.0,3.3,2.0,2.0,77777.0,72000.0
-10.6,-14.9,68.0,83600.0,0.0,0.0,0.0,0.0,190.0,2.9,4.0,2.0,77777.0,75600.0
-10.6,-15.6,67.0,83600.0,0.0,0.0,0.0,0.0,190.0,2.6,5.0,3.0,77777.0,79200.0
-10.6,-14.9,68.0,83600.0,0.0,0.0,0.0,0.0,190.0,2.6,7.0,5.0,77777.0,82800.0
-10.6,-14.7,69.0,83600.0,0.0,0.0,0.0,0.0,200.0,2.6,8.0,8.0,77777.0,86400.0
-10.6,-15.0,70.0,83600.0,0.0,0.0,0.0,0.0,200.0,2.6,10.0,10.0,88888.0,90000.0
-10.4,-14.7,68.0,83600.0,0.0,0.0,0.0,0.0,200.0,2.6,9.0,8.0,88888.0,93600.0
-10.2,-14.8,66.0,83600.0,0.0,0.0,0.0,0.0,190.0,2.6,8.0,5.0,88888.0,97200.0
-10.0,-15.6,64.0,83600.0,0.0,0.0,0.0,0.0,190.0,2.6,7.0,3.0,77777.0,100800.0
-10.2,-15.6,61.0,83600.0,0.0,0.0,0.0,0.0,190.0,2.9,7.0,2.0,77777.0,104400.0
-10.4,-16.2,59.0,83600.0,0.0,0.0,0.0,0.0,180.0,3.3,7.0,2.0,77777.0,108000.0
-10.6,-17.8,56.0,83600.0,71.0,30.0,157.0,15.0,180.0,3.6,7.0,1.0,77777.0,111600.0
-8.9,-15.9,53.0,83500.0,239.0,131.0,541.0,39.0,180.0,3.3,5.0,1.0,77777.0,115200.0
-7.3,-14.8,51.0,83500.0,426.0,308.0,879.0,43.0,190.0,2.9,3.0,0.0,77777.0,118800.0
-5.6,-15.0,48.0,83500.0,560.0,411.0,938.0,40.0,190.0,2.6,1.0,0.0,77777.0,122400.0
-4.5,-14.1,43.0,83500.0,632.0,489.0,991.0,46.0,210.0,1.7,1.0,0.0,77777.0,126000.0
-3.3,-14.0,39.0,83400.0,637.0,460.0,947.0,34.0,230.0,0.9,1.0,1.0,77777.0,129600.0
-2.2,-16.1,34.0,83300.0,574.0,416.0,865.0,65.0,0.0,0.0,1.0,1.0,77777.0,133200.0
-2.8,-14.7,35.0,83300.0,449.0,305.0,797.0,53.0,260.0,1.2,4.0,3.0,77777.0,136800.0
-3.3,-15.2,35.0,83300.0,269.0,121.0,241.0,76.0,280.0,2.4,7.0,6.0,77777.0,140400.0
-3.9,-16.7,36.0,83300.0,89.0,38.0,47.0,34.0,300.0,3.6,10.0,8.0,5182.0,144000.0
-3.9,-15.4,36.0,83400.0,0.0,0.0,0.0,0.0,300.0,3.4,10.0,8.0,5182.0,147600.0
-3.9,-15.4,36.0,83400.0,0.0,0.0,0.0,0.0,290.0,3.3,10.0,9.0,5182.0,151200.0
-3.9,-16.7,36.0,83400.0,0.0,0.0,0.0,0.0,290.0,3.1,10.0,9.0,3048.0,154800.0
-6.1,-15.0,45.0,83400.0,0.0,0.0,0.0,0.0,250.0,3.4,8.0,6.0,3048.0,158400.0
-8.4,-15.0,55.0,83400.0,0.0,0.0,0.0,0.0,220.0,3.8,5.0,4.0,3048.0,162000.0
-10.6,-16.1,64.0,83400.0,0.0,0.0,0.0,0.0,180.0,4.1,3.0,1.0,77777.0,165600.0
-10.8,-16.0,62.0,83400.0,0.0,0.0,0.0,0.0,180.0,4.1,3.0,1.0,77777.0,169200.0
-10.9,-16.5,60.0,83300.0,0.0,0.0,0.0,0.0,180.0,4.1,2.0,2.0,77777.0,172800.0
-11.1,-17.8,58.0,83300.0,0.0,0.0,0.0,0.0,180.0,4.1,2.0,2.0,77777.0,176400.0
-11.5,-17.1,60.0,83300.0,0.0,0.0,0.0,0.0,180.0,3.2,3.0,2.0,77777.0,180000.0
-11.8,-17.0,62.0,83200.0,0.0,0.0,0.0,0.0,190.0,2.4,5.0,1.0,77777.0,183600.0
-12.2,-17.8,64.0,83200.0,0.0,0.0,0.0,0.0,190.0,1.5,6.0,1.0,77777.0,187200.0
-12.6,-17.3,65.0,83200.0,0.0,0.0,0.0,0.0,200.0,1.0,5.0,2.0,77777.0,190800.0
-12.9,-17.6,65.0,83300.0,0.0,0.0,0.0,0.0,210.0,0.5,5.0,3.0,77777.0,194400.0
-13.3,-18.3,66.0,83300.0,71.0,29.0,128.0,17.0,0.0,0.0,4.0,4.0,77777.0,198000.0
-9.6,-16.6,53.0,83300.0,239.0,87.0,95.0,71.0,0.0,0.0,6.0,5.0,77777.0,201600.0
-5.9,-16.4,39.0,83300.0,426.0,211.0,224.0,144.0,0.0,0.0,7.0,7.0,77777.0,205200.0
-2.2,-19.4,26.0,83200.0,561.0,238.0,122.0,190.0,0.0,0.0,9.0,8.0,4267.0,208800.0
-2.0,-16.4,28.0,83200.0,634.0,380.0,554.0,132.0,270.0,2.6,6.0,5.0,4267.0,212400.0
-1.9,-15.6,30.0,83200.0,639.0,520.0,891.0,117.0,280.0,5.1,3.0,3.0,4267.0,216000.0
-1.7,-16.1,32.0,83100.0,577.0,446.0,996.0,40.0,290.0,7.7,0.0,0.0,77777.0,219600.0
-2.8,-14.7,35.0,83100.0,452.0,334.0,944.0,33.0,320.0,5.5,0.0,0.0,77777.0,223200.0
-3.9,-15.1,37.0,83100.0,272.0,178.0,803.0,23.0,340.0,3.2,0.0,0.0,77777.0,226800.0
-5.0,-16.7,40.0,83100.0,88.0,42.0,347.0,12.0,10.0,1.0,0.0,0.0,77777.0,230400.0
