time,ElecLoads[core_zn],ElecLoads[perimeter_zn_1],ElecLoads[perimeter_zn_2],ElecLoads[perimeter_zn_3],ElecLoads[perimeter_zn_4],tdl
0,80.51708,61.0361,36.2074,61.0361,36.2074,20
3600,80.51708,61.0361,36.2074,61.0361,36.2074,20
7200,80.51708,61.0361,36.2074,61.0361,36.2074,20
10800,80.51708,61.0361,36.2074,61.0361,36.2074,20
14400,80.51708,61.0361,36.2074,61.0361,36.2074,20
18000,80.51708,61.0361,36.2074,61.0361,36.2074,20
21600,80.51708,61.0361,36.2074,61.0361,36.2074,20
25200,80.51708,61.0361,36.2074,61.0361,36.2074,20
28800,80.51708,61.0361,36.2074,61.0361,36.2074,20
32400,80.51708,61.0361,36.2074,61.0361,36.2074,20
36000,80.51708,61.0361,36.2074,61.0361,36.2074,20
39600,80.51708,61.0361,36.2074,61.0361,36.2074,20
43200,80.51708,61.0361,36.2074,61.0361,36.2074,20
46800,80.51708,61.0361,36.2074,61.0361,36.2074,20
50400,80.51708,61.0361,36.2074,61.0361,36.2074,5
54000,80.51708,61.0361,36.2074,61.0361,36.2074,5
57600,80.51708,61.0361,36.2074,61.0361,36.2074,5
61200,80.51708,61.0361,36.2074,61.0361,36.2074,5
64800,80.51708,61.0361,36.2074,61.0361,36.2074,20
68400,80.51708,61.0361,36.2074,61.0361,36.2074,20
72000,80.51708,61.0361,36.2074,61.0361,36.2074,20
75600,80.51708,61.0361,36.2074,61.0361,36.2074,20
79200,80.51708,61.0361,36.2074,61.0361,36.2074,20
82800,80.51708,61.0361,36.2074,61.0361,36.2074,20
86400,80.51708,61.0361,36.2074,61.0361,36.2074,20
90000,80.51708,61.0361,36.2074,61.0361,36.2074,20
93600,80.51708,61.0361,36.2074,61.0361,36.2074,20
97200,80.51708,61.0361,36.2074,61.0361,36.2074,20
100800,80.51708,61.0361,36.2074,61.0361,36.2074,20
104400,161.03416,122.0722,72.4148,122.0722,72.4148,20
108000,161.03416,122.0722,72.4148,122.0722,72.4148,20
111600,483.10248,366.2166,217.2444,366.2166,217.2444,20
115200,1449.30744,1098.6498,651.7332,1098.6498,651.7332,20
118800,1449.30744,1098.6498,651.7332,1098.6498,651.7332,20
122400,1449.30744,1098.6498,651.7332,1098.6498,651.7332,20
126000,1449.30744,1098.6498,651.7332,1098.6498,651.7332,20
129600,1449.30744,1098.6498,651.7332,1098.6498,651.7332,20
133200,1449.30744,1098.6498,651.7332,1098.6498,651.7332,20
136800,1449.30744,1098.6498,651.7332,1098.6498,651.7332,5
140400,1449.30744,1098.6498,651.7332,1098.6498,651.7332,5
144000,1449.30744,1098.6498,651.7332,1098.6498,651.7332,5
147600,805.1708,610.361,362.074,610.361,362.074,5
151200,483.10248,366.2166,217.2444,366.2166,217.2444,20
154800,483.10248,366.2166,217.2444,366.2166,217.2444,20
158400,322.06832,244.1444,144.8296,244.1444,144.8296,20
162000,322.06832,244.1444,144.8296,244.1444,144.8296,20
165600,161.03416,122.0722,72.4148,122.0722,72.4148,20
169200,80.51708,61.0361,36.2074,61.0361,36.2074,20
172800,80.51708,61.0361,36.2074,61.0361,36.2074,20
176400,80.51708,61.0361,36.2074,61.0361,36.2074,20
180000,80.51708,61.0361,36.2074,61.0361,36.2074,20
183600,80.51708,61.0361,36.2074,61.0361,36.2074,20
187200,80.51708,61.0361,36.2074,61.0361,36.2074,20
190800,161.03416,122.0722,72.4148,122.0722,72.4148,20
194400,161.03416,122.0722,72.4148,122.0722,72.4148,20
198000,483.10248,366.2166,217.2444,366.2166,217.2444,20
201600,1449.30744,1098.6498,651.7332,1098.6498,651.7332,20
205200,1449.30744,1098.6498,651.7332,1098.6498,651.7332,20
208800,1449.30744,1098.6498,651.7332,1098.6498,651.7332,20
212400,1449.30744,1098.6498,651.7332,1098.6498,651.7332,20
216000,1449.30744,1098.6498,651.7332,1098.6498,651.7332,20
219600,1449.30744,1098.6498,651.7332,1098.6498,651.7332,20
223200,1449.30744,1098.6498,651.7332,1098.6498,651.7332,5
226800,1449.30744,1098.6498,651.7332,1098.6498,651.7332,5
230400,1449.30744,1098.6498,651.7332,1098.6498,651.7332,5
234000,805.1708,610.361,362.074,610.361,362.074,5
237600,483.10248,366.2166,217.2444,366.2166,217.2444,20
241200,483.10248,366.2166,217.2444,366.2166,217.2444,20
244800,322.06832,244.1444,144.8296,244.1444,144.8296,20
248400,322.06832,244.1444,144.8296,244.1444,144.8296,20
252000,161.03416,122.0722,72.4148,122.0722,72.4148,20
255600,80.51708,61.0361,36.2074,61.0361,36.2074,20
259200,80.51708,61.0361,36.2074,61.0361,36.2074,20
262800,80.51708,61.0361,36.2074,61.0361,36.2074,20
266400,80.51708,61.0361,36.2074,61.0361,36.2074,20
270000,80.51708,61.0361,36.2074,61.0361,36.2074,20
273600,80.51708,61.0361,36.2074,61.0361,36.2074,20
277200,161.03416,122.0722,72.4148,122.0722,72.4148,20
280800,161.03416,122.0722,72.4148,122.0722,72.4148,20
284400,483.10248,366.2166,217.2444,366.2166,217.2444,20
288000,1449.30744,1098.6498,651.7332,1098.6498,651.7332,20
291600,1449.30744,1098.6498,651.7332,1098.6498,651.7332,20
295200,1449.30744,1098.6498,651.7332,1098.6498,651.7332,20
298800,1449.30744,1098.6498,651.7332,1098.6498,651.7332,20
302400,1449.30744,1098.6498,651.7332,1098.6498,651.7332,20
306000,1449.30744,1098.6498,651.7332,1098.6498,651.7332,20
309600,1449.30744,1098.6498,651.7332,1098.6498,651.7332,5
313200,1449.30744,1098.6498,651.7332,1098.6498,651.7332,5
316800,1449.30744,1098.6498,651.7332,1098.6498,651.7332,5
320400,805.1708,610.361,362.074,610.361,362.074,5
324000,483.10248,366.2166,217.2444,366.2166,217.2444,20
327600,483.10248,366.2166,217.2444,366.2166,217.2444,20
331200,322.06832,244.1444,144.8296,244.1444,144.8296,20
334800,322.06832,244.1444,144.8296,244.1444,144.8296,20
338400,161.03416,122.0722,72.4148,122.0722,72.4148,20
342000,80.51708,61.0361,36.2074,61.0361,36.2074,20
345600,80.51708,61.0361,36.2074,61.0361,36.2074,20
349200,80.51708,61.0361,36.2074,61.0361,36.2074,20
352800,80.51708,61.0361,36.2074,61.0361,36.2074,20
356400,80.51708,61.0361,36.2074,61.0361,36.2074,20
360000,80.51708,61.0361,36.2074,61.0361,36.2074,20
363600,161.03416,122.0722,72.4148,122.0722,72.4148,20
367200,161.03416,122.0722,72.4148,122.0722,72.4148,20
370800,483.10248,366.2166,217.2444,366.2166,217.2444,20
374400,1449.30744,1098.6498,651.7332,1098.6498,651.7332,20
378000,1449.30744,1098.6498,651.7332,1098.6498,651.7332,20
381600,1449.30744,1098.6498,651.7332,1098.6498,651.7332,20
385200,1449.30744,1098.6498,651.7332,1098.6498,651.7332,20
388800,1449.30744,1098.6498,651.7332,1098.6498,651.7332,20
392400,1449.30744,1098.6498,651.7332,1098.6498,651.7332,20
396000,1449.30744,1098.6498,651.7332,1098.6498,651.7332,5
399600,1449.30744,1098.6498,651.7332,1098.6498,651.7332,5
403200,1449.30744,1098.6498,651.7332,1098.6498,651.7332,5
406800,805.1708,610.361,362.074,610.361,362.074,5
410400,483.10248,366.2166,217.2444,366.2166,217.2444,20
414000,483.10248,366.2166,217.2444,366.2166,217.2444,20
417600,322.06832,244.1444,144.8296,244.1444,144.8296,20
421200,322.06832,244.1444,144.8296,244.1444,144.8296,20
424800,161.03416,122.0722,72.4148,122.0722,72.4148,20
428400,80.51708,61.0361,36.2074,61.0361,36.2074,20
432000,80.51708,61.0361,36.2074,61.0361,36.2074,20
435600,80.51708,61.0361,36.2074,61.0361,36.2074,20
439200,80.51708,61.0361,36.2074,61.0361,36.2074,20
442800,80.51708,61.0361,36.2074,61.0361,36.2074,20
446400,80.51708,61.0361,36.2074,61.0361,36.2074,20
450000,161.03416,122.0722,72.4148,122.0722,72.4148,20
453600,161.03416,122.0722,72.4148,122.0722,72.4148,20
457200,483.10248,366.2166,217.2444,366.2166,217.2444,20
460800,1449.30744,1098.6498,651.7332,1098.6498,651.7332,20
464400,1449.30744,1098.6498,651.7332,1098.6498,651.7332,20
468000,1449.30744,1098.6498,651.7332,1098.6498,651.7332,20
471600,1449.30744,1098.6498,651.7332,1098.6498,651.7332,20
475200,1449.30744,1098.6498,651.7332,1098.6498,651.7332,20
478800,1449.30744,1098.6498,651.7332,1098.6498,651.7332,20
482400,1449.30744,1098.6498,651.7332,1098.6498,651.7332,5
486000,1449.30744,1098.6498,651.7332,1098.6498,651.7332,5
489600,1449.30744,1098.6498,651.7332,1098.6498,651.7332,5
493200,805.1708,610.361,362.074,610.361,362.074,5
496800,483.10248,366.2166,217.2444,366.2166,217.2444,20
500400,483.10248,366.2166,217.2444,366.2166,217.2444,20
504000,322.06832,244.1444,144.8296,244.1444,144.8296,20
507600,322.06832,244.1444,144.8296,244.1444,144.8296,20
511200,161.03416,122.0722,72.4148,122.0722,72.4148,20
514800,80.51708,61.0361,36.2074,61.0361,36.2074,20
518400,80.51708,61.0361,36.2074,61.0361,36.2074,20
522000,80.51708,61.0361,36.2074,61.0361,36.2074,20
525600,80.51708,61.0361,36.2074,61.0361,36.2074,20
529200,80.51708,61.0361,36.2074,61.0361,36.2074,20
532800,80.51708,61.0361,36.2074,61.0361,36.2074,20
536400,80.51708,61.0361,36.2074,61.0361,36.2074,20
540000,161.03416,122.0722,72.4148,122.0722,72.4148,20
543600,161.03416,122.0722,72.4148,122.0722,72.4148,20
547200,483.10248,366.2166,217.2444,366.2166,217.2444,20
550800,483.10248,366.2166,217.2444,366.2166,217.2444,20
554400,483.10248,366.2166,217.2444,366.2166,217.2444,20
558000,483.10248,366.2166,217.2444,366.2166,217.2444,20
561600,241.55124,183.1083,108.6222,183.1083,108.6222,20
565200,241.55124,183.1083,108.6222,183.1083,108.6222,20
568800,241.55124,183.1083,108.6222,183.1083,108.6222,5
572400,241.55124,183.1083,108.6222,183.1083,108.6222,5
576000,241.55124,183.1083,108.6222,183.1083,108.6222,5
579600,80.51708,61.0361,36.2074,61.0361,36.2074,5
583200,80.51708,61.0361,36.2074,61.0361,36.2074,20
586800,80.51708,61.0361,36.2074,61.0361,36.2074,20
590400,80.51708,61.0361,36.2074,61.0361,36.2074,20
594000,80.51708,61.0361,36.2074,61.0361,36.2074,20
597600,80.51708,61.0361,36.2074,61.0361,36.2074,20
601200,80.51708,61.0361,36.2074,61.0361,36.2074,20
604800,80.51708,61.0361,36.2074,61.0361,36.2074,20
608400,80.51708,61.0361,36.2074,61.0361,36.2074,20
612000,80.51708,61.0361,36.2074,61.0361,36.2074,20
615600,80.51708,61.0361,36.2074,61.0361,36.2074,20
619200,80.51708,61.0361,36.2074,61.0361,36.2074,20
622800,80.51708,61.0361,36.2074,61.0361,36.2074,20
626400,80.51708,61.0361,36.2074,61.0361,36.2074,20
630000,80.51708,61.0361,36.2074,61.0361,36.2074,20
633600,80.51708,61.0361,36.2074,61.0361,36.2074,20
637200,80.51708,61.0361,36.2074,61.0361,36.2074,20
640800,80.51708,61.0361,36.2074,61.0361,36.2074,20
644400,80.51708,61.0361,36.2074,61.0361,36.2074,20
648000,80.51708,61.0361,36.2074,61.0361,36.2074,20
651600,80.51708,61.0361,36.2074,61.0361,36.2074,20
655200,80.51708,61.0361,36.2074,61.0361,36.2074,5
658800,80.51708,61.0361,36.2074,61.0361,36.2074,5
662400,80.51708,61.0361,36.2074,61.0361,36.2074,5
666000,80.51708,61.0361,36.2074,61.0361,36.2074,5
669600,80.51708,61.0361,36.2074,61.0361,36.2074,20
673200,80.51708,61.0361,36.2074,61.0361,36.2074,20
676800,80.51708,61.0361,36.2074,61.0361,36.2074,20
680400,80.51708,61.0361,36.2074,61.0361,36.2074,20
684000,80.51708,61.0361,36.2074,61.0361,36.2074,20
687600,80.51708,61.0361,36.2074,61.0361,36.2074,20
691200,80.51708,61.0361,36.2074,61.0361,36.2074,20
694800,80.51708,61.0361,36.2074,61.0361,36.2074,20
698400,80.51708,61.0361,36.2074,61.0361,36.2074,20
702000,80.51708,61.0361,36.2074,61.0361,36.2074,20
705600,80.51708,61.0361,36.2074,61.0361,36.2074,20
709200,161.03416,122.0722,72.4148,122.0722,72.4148,20
712800,161.03416,122.0722,72.4148,122.0722,72.4148,20
716400,483.10248,366.2166,217.2444,366.2166,217.2444,20
720000,1449.30744,1098.6498,651.7332,1098.6498,651.7332,20
723600,1449.30744,1098.6498,651.7332,1098.6498,651.7332,20
727200,1449.30744,1098.6498,651.7332,1098.6498,651.7332,20
730800,1449.30744,1098.6498,651.7332,1098.6498,651.7332,20
734400,1449.30744,1098.6498,651.7332,1098.6498,651.7332,20
738000,1449.30744,1098.6498,651.7332,1098.6498,651.7332,20
741600,1449.30744,1098.6498,651.7332,1098.6498,651.7332,5
745200,1449.30744,1098.6498,651.7332,1098.6498,651.7332,5
748800,1449.30744,1098.6498,651.7332,1098.6498,651.7332,5
752400,805.1708,610.361,362.074,610.361,362.074,5
756000,483.10248,366.2166,217.2444,366.2166,217.2444,20
