PriceGasPower,PriceElectricPowerConstant,PriceElectricPowerDynamic,PriceElectricPowerHighlyDynamic,time
7.2171,0.074,0.074,0.074,0.0
7.2171,0.074,0.074,0.074,3600.0
7.2171,0.074,0.074,0.074,7200.0
7.2171,0.074,0.074,0.074,10800.0
7.2171,0.074,0.074,0.074,14400.0
7.2171,0.074,0.074,0.074,18000.0
7.2171,0.074,0.074,0.074,21600.0
7.2171,0.074,0.074,0.074,25200.0
7.2171,0.074,0.074,0.074,28800.0
7.2171,0.074,0.074,0.074,32400.0
7.2171,0.074,0.074,0.074,36000.0
7.2171,0.074,0.074,0.074,39600.0
7.2171,0.074,0.074,0.074,43200.0
7.2171,0.074,0.074,0.074,46800.0
7.2171,0.074,0.074,0.074,50400.0
7.2171,0.074,0.074,0.074,54000.0
7.2171,0.074,0.074,0.074,57600.0
7.2171,0.074,0.074,0.074,61200.0
7.2171,0.074,0.074,0.074,64800.0
7.2171,0.074,0.074,0.074,68400.0
7.2171,0.074,0.074,0.074,72000.0
7.2171,0.074,0.074,0.074,75600.0
7.2171,0.074,0.074,0.074,79200.0
7.2171,0.074,0.074,0.074,82800.0
7.2171,0.074,0.074,0.074,86400.0
7.2171,0.074,0.074,0.074,90000.0
7.2171,0.074,0.074,0.074,93600.0
7.2171,0.074,0.074,0.074,97200.0
7.2171,0.074,0.074,0.074,100800.0
7.2171,0.074,0.074,0.074,104400.0
7.2171,0.074,0.074,0.074,108000.0
7.2171,0.074,0.074,0.074,111600.0
7.2171,0.074,0.074,0.074,115200.0
7.2171,0.074,0.074,0.074,118800.0
7.2171,0.074,0.074,0.074,122400.0
7.2171,0.074,0.074,0.074,126000.0
7.2171,0.074,0.074,0.074,129600.0
7.2171,0.074,0.074,0.074,133200.0
7.2171,0.074,0.074,0.074,136800.0
7.2171,0.074,0.074,0.074,140400.0
7.2171,0.074,0.074,0.074,144000.0
7.2171,0.074,0.074,0.074,147600.0
7.2171,0.074,0.074,0.074,151200.0
7.2171,0.074,0.074,0.074,154800.0
7.2171,0.074,0.074,0.074,158400.0
7.2171,0.074,0.074,0.074,162000.0
7.2171,0.074,0.074,0.074,165600.0
7.2171,0.074,0.074,0.074,169200.0
7.2171,0.074,0.074,0.074,172800.0
7.2171,0.074,0.074,0.074,176400.0
7.2171,0.074,0.074,0.074,180000.0
7.2171,0.074,0.074,0.074,183600.0
7.2171,0.074,0.074,0.074,187200.0
7.2171,0.074,0.074,0.074,190800.0
7.2171,0.074,0.074,0.074,194400.0
7.2171,0.074,0.074,0.074,198000.0
7.2171,0.074,0.074,0.074,201600.0
7.2171,0.074,0.074,0.074,205200.0
7.2171,0.074,0.074,0.074,208800.0
7.2171,0.074,0.074,0.074,212400.0
7.2171,0.074,0.074,0.074,216000.0
7.2171,0.074,0.074,0.074,219600.0
7.2171,0.074,0.074,0.074,223200.0
7.2171,0.074,0.074,0.074,226800.0
7.2171,0.074,0.074,0.074,230400.0
7.2171,0.074,0.074,0.074,234000.0
7.2171,0.074,0.074,0.074,237600.0
7.2171,0.074,0.074,0.074,241200.0
7.2171,0.074,0.074,0.074,244800.0
7.2171,0.074,0.074,0.074,248400.0
7.2171,0.074,0.074,0.074,252000.0
7.2171,0.074,0.074,0.074,255600.0
7.2171,0.074,0.074,0.074,259200.0
7.2171,0.074,0.074,0.074,262800.0
7.2171,0.074,0.074,0.074,266400.0
7.2171,0.074,0.074,0.074,270000.0
7.2171,0.074,0.074,0.074,273600.0
7.2171,0.074,0.074,0.074,277200.0
7.2171,0.074,0.074,0.074,280800.0
7.2171,0.074,0.074,0.074,284400.0
7.2171,0.074,0.074,0.074,288000.0
7.2171,0.074,0.074,0.074,291600.0
7.2171,0.074,0.074,0.074,295200.0
7.2171,0.074,0.074,0.074,298800.0
7.2171,0.074,0.074,0.074,302400.0
7.2171,0.074,0.074,0.074,306000.0
7.2171,0.074,0.074,0.074,309600.0
7.2171,0.074,0.074,0.074,313200.0
7.2171,0.074,0.074,0.074,316800.0
7.2171,0.074,0.074,0.074,320400.0
7.2171,0.074,0.074,0.074,324000.0
7.2171,0.074,0.074,0.074,327600.0
