,ener_tot,tdis_tot,idis_tot,cost_tot,emis_tot,episodes,scores,total_cost,energy_total_cost,tdisc_total_cost,day_no,DR_start_time,DR_end_time,r_episodes,,avg_cost_irl
0,0.159837608,1.357165506,0,0.011827983,0.041792174,1,-646.4900231,252.9611806,8.031200868,140.792,216,17.21804022,20.08571982,1,,
1,0.191314052,3.134964147,0,0.01415724,0.050022209,2,-736.4118228,265.3532072,9.613441134,191.748,206,16.50441977,18.88759578,2,,
2,0.255311932,5.385469681,0,0.018893083,0.066755508,3,-970.6477683,341.9466354,12.83063537,329.116,200,16.76932804,18.95534946,3,,
3,0.352842597,8.935504575,0,0.026110352,0.092256506,4,-1223.773264,354.1827453,17.74674529,336.436,199,17.36715905,20.19118956,4,,
10,0.190775803,1.785028768,0,0.014117409,0.049881475,5,-638.0624994,168.11869,9.590689988,158.528,216,16.82759833,19.5974173,16,,
0,0.267149576,9.163886692,0,0.042993746,0.069151779,6,-1453.764192,472.7724679,13.41402797,452.1866667,164,17.49260722,19.89080572,6,,
1,0.357798164,9.306872279,0,0.026477064,0.093552221,7,-1351.559616,469.8461523,17.99415232,451.852,199,17.05414277,19.5578245,7,,332.1687255
2,0.281923894,14.8869394,0,0.027400074,0.073516911,8,-1909.6869,756.7369178,14.18891781,742.548,159,16.85645562,19.4777646,8,,404.136688
3,0.286742344,9.550161109,0,0.021218933,0.074973507,9,-1149.922775,443.5987755,14.41477549,429.184,170,16.95931277,19.38585125,9,,429.6003406
4,0.278505787,10.10093697,0,0.02500267,0.072691036,10,-1258.710266,522.06866,14.01415703,497.0426667,193,16.55612681,19.34558427,10,,455.3320584
5,0.245691343,8.090840005,0,0.048766138,0.063342753,11,-1486.597096,435.8558266,12.40649324,423.4493333,184,16.56962026,18.81327191,11,,466.9996414
0,0.114559088,1.248819686,0,0.008477373,0.02995336,12,-406.6966515,124.7527875,5.753932784,114.768,209,16.52243661,18.75457085,26,,460.8045125
7,0.23925695,3.401015953,0,0.017705014,0.062557669,13,-890.5141516,240.3928628,12.02085248,224.488,209,16.76790987,18.96367612,13,,427.6074261
8,0.247606655,8.195106589,0,0.024821625,0.064548735,14,-1354.377543,361.2816355,12.56963552,348.712,221,16.8442148,19.64602136,14,,412.0982094
9,0.164110348,5.260505273,0,0.016843671,0.042762851,15,-1051.184432,299.9758628,8.27052943,291.7053333,253,17.2059656,19.22676999,15,,346.8466301
10,0.190775803,1.785028768,0,0.014117409,0.049881475,16,-638.0624994,168.11869,9.590689988,158.528,216,16.82759833,19.5974173,16,,307.4923322
11,0.213294118,4.276726072,0,0.015783765,0.055769259,17,-741.4048346,216.1058348,10.72038775,196.136,208,17.05188862,19.2487448,17,,263.7833571
12,0.199480574,4.362681092,0,0.014761562,0.05215748,18,-684.744425,184.9135811,10.02558109,174.888,221,16.89804858,19.06084167,18,,227.9344649
13,0.214324563,7.786629668,0,0.015860018,0.056038686,19,-871.0848724,343.2716974,10.77169745,332.5,177,17.15385348,19.52648402,19,,259.1514521
14,0.233828827,6.828017685,0,0.017303333,0.061138397,20,-928.3019737,352.61283,11.74875803,331.516,166,16.95094302,19.82743755,20,,275.1828759
15,0.183528644,5.588519511,0,0.01358112,0.047986586,21,-675.7961761,211.7219024,9.221902368,202.5,164,17.42057297,19.60941644,21,,253.8171998
16,0.173137867,6.038223858,0,0.012812202,0.045269746,22,-850.493937,270.0199323,8.703932312,261.316,156,17.41642906,19.96638197,22,,249.5377811
17,0.181838152,3.5424106,0,0.013456023,0.047544579,23,-667.5372686,216.136702,9.139235462,206.328,240,17.14693427,19.63592515,23,,256.3974971
18,0.119760873,4.057022956,0,0.008862305,0.031313452,24,-660.8259032,308.5783561,6.018356052,302.56,253,16.97883242,19.95468327,24,,269.6078573
19,0.206757506,3.464440389,0,0.015300055,0.054060154,25,-746.3340842,237.0294244,10.39397265,217.92,192,16.69175596,18.9485679,25,,277.0529778
0,0.114559088,1.248819686,0,0.008477373,0.02995336,26,-406.6966515,124.7527875,5.753932784,114.768,209,16.52243661,18.75457085,26,,245.8359907
1,0.11579976,4.687949798,0,0.008569182,0.030277754,27,-782.9850751,340.9362366,5.81623663,335.12,141,17.13497371,20.02587033,27,,244.1679059
2,0.176006629,2.403226024,0,0.013024491,0.046019831,28,-598.3750866,154.0382616,8.85026164,145.188,188,16.79233835,18.83395494,28,,235.9273858
3,0.216434604,7.484497395,0,0.016016161,0.056590391,29,-964.8314164,431.9079883,10.87598833,421.032,171,16.69216471,18.78916372,29,,259.0542509
4,0.188400656,3.886187055,0,0.013941649,0.049260454,30,-725.294579,226.8826041,9.466854818,205.996,232,17.10597489,19.68708603,30,,260.5893798
5,0.115199976,3.595111908,0,0.008524798,0.03012093,31,-640.0661184,285.7237046,5.787704648,279.936,141,16.83891611,19.31586661,31,,257.3244296
6,0.182051857,4.280993966,0,0.013471837,0.047600455,32,-658.1485179,209.7860535,9.150254376,198.504,149,17.16228357,20.02449443,32,,253.4325195
7,0.210446094,7.57453468,0,0.015573011,0.055024596,33,-871.3644811,353.0184896,10.57848962,342.44,165,17.31225006,19.59796765,33,,286.0419055
18,0.119760873,4.057022956,0,0.008862305,0.031313452,34,-660.8259032,308.5783561,6.018356052,302.56,253,16.97883242,19.95468327,24,,281.4193511
9,0.274995624,6.735994397,0,0.020349676,0.071902133,35,-1085.976329,408.2196069,13.83176984,382.676,214,16.68806405,18.97377401,35,,317.7309719
10,0.161082883,4.561455855,0,0.011920133,0.042117772,36,-684.9595209,269.8708818,8.095192192,255.648,169,16.99252294,19.17143746,36,,294.5828138
11,0.154877382,5.896473262,0,0.011460926,0.040495242,37,-670.7950977,289.4281272,7.782950706,277.512,212,16.97503529,19.74856692,37,,303.5178885
12,0.249240999,7.648917542,0,0.018443834,0.065168163,38,-984.6745008,370.70205,12.53005002,358.172,170,17.06681715,19.53900525,38,,315.6576522
13,0.215315927,5.409560361,0,0.015933379,0.056297894,39,-808.1506356,277.8271107,10.82292908,246.968,165,17.3761119,19.65241111,39,,325.3778032
0,0.20458676,6.40320257,0,0.01513942,0.053492577,40,-763.7336778,259.8826736,10.28267356,249.6,177,17.17365727,19.61967362,40,,312.0726866
1,0.224853969,7.439438533,0,0.016639194,0.058791772,41,-835.3598843,281.5110377,11.30303769,270.208,170,17.43478457,19.99128467,41,,308.2059268
2,0.087225367,4.021822205,0,0.006454677,0.022806508,42,-641.8369988,394.8661473,4.382147322,390.484,246,17.47693815,20.12473015,42,,306.2982898
3,0.13848172,1.730776365,0,0.010247647,0.036208326,43,-510.494235,169.4821793,6.959429708,152.024,216,17.08016442,19.56675037,43,,291.9570465
4,0.116262934,3.998550384,0,0.011709582,0.030299921,44,-811.2206388,283.0685296,5.871196228,277.1973333,141,17.0247936,19.23410965,44,,291.0485326
