,Time,datetime,T_OA,HgloHor,P1_OccN,P1_IntGaiTot,P1_HeaPow,P1_FanPow,P1_OAVol
520120,31207200,12/28/19 04:40,268.15,0,0,549.3249,0,7.4810686,0.37
520125,31207500,12/28/19 04:45,268.15,0,0,549.3249,0,7.4810686,0.37
520130,31207800,12/28/19 04:50,268.15,0,0,549.3249,0,7.4810686,0.37
520135,31208100,12/28/19 04:55,268.15,0,0,549.3249,0,7.4810686,0.37
520140,31208400,12/28/19 05:00,268.15,0,0,610.361,0,7.4810686,0.37
520145,31208700,12/28/19 05:05,268.15,0,0,610.361,0,7.4810686,0.37
520150,31209000,12/28/19 05:10,268.15,0,0,610.361,0,7.4810686,0.37
520155,31209300,12/28/19 05:15,268.15,0,0,610.361,0,7.4810686,0.37
520160,31209600,12/28/19 05:20,268.15,0,0,610.361,0,7.4810686,0.37
520165,31209900,12/28/19 05:25,268.15,0,0,610.361,0,7.4810686,0.37
520170,31210200,12/28/19 05:30,268.15,0,0,610.361,0,7.4810686,0.37
520175,31210500,12/28/19 05:35,268.15,0,0,610.361,0,7.4810686,0.37
520180,31210800,12/28/19 05:40,268.15,0,0,610.361,0,7.4810686,0.37
520185,31211100,12/28/19 05:45,268.15,0,0,610.361,0,7.4810686,0.37
520190,31211400,12/28/19 05:50,268.15,0,0,610.361,0,7.4810686,0.37
520195,31211700,12/28/19 05:55,268.15,0,0,610.361,0,7.4810686,0.37
520200,31212000,12/28/19 06:00,268.15,0,0.610602799,683.6333358,0,7.4810686,0.37
520205,31212300,12/28/19 06:05,268.15,0,0.610602799,683.6333358,2082.1077,380.25955,0.37
520210,31212600,12/28/19 06:10,268.15,0,0.610602799,683.6333358,1802.8212,380.3732,0.37
520215,31212900,12/28/19 06:15,268.15,0,0.610602799,683.6333358,1815.8625,380.41635,0.37
520220,31213200,12/28/19 06:20,268.15,0,0.610602799,683.6333358,1818.3174,380.43472,0.37
520225,31213500,12/28/19 06:25,268.15,0,0.610602799,683.6333358,2536.6458,380.44528,0.37
520230,31213800,12/28/19 06:30,268.15,0,0.610602799,683.6333358,2540.3682,380.44943,0.37
520235,31214100,12/28/19 06:35,268.15,5.10E-05,0.610602799,683.6333358,2272.1436,380.45132,0.37
520240,31214400,12/28/19 06:40,268.15,0.000229808,0.610602799,683.6333358,2269.1035,380.45206,0.37
520245,31214700,12/28/19 06:45,268.15,0.000575447,0.610602799,683.6333358,2103.4153,380.45242,0.37
520250,31215000,12/28/19 06:50,268.15,0.001126801,0.610602799,683.6333358,2102.4395,380.45258,0.37
520255,31215300,12/28/19 06:55,268.15,0.001922789,0.610602799,683.6333358,2021.2546,380.45264,0.37
520260,31215600,12/28/19 07:00,268.15,0.00300233,1.221205597,1001.050072,2019.3185,380.45267,0.37
520265,31215900,12/28/19 07:05,268.15,0.004404345,1.221205597,1001.050072,1867.351,380.45267,0.37
520270,31216200,12/28/19 07:10,268.15,0.006167751,1.221205597,1001.050072,1867.0415,380.45267,0.37
520275,31216500,12/28/19 07:15,268.15,0.008331468,1.221205597,1001.050072,1786.2411,380.4527,0.37
520280,31216800,12/28/19 07:20,268.15,0.010934413,1.221205597,1001.050072,1784.2815,380.4527,0.37
520285,31217100,12/28/19 07:25,268.15,0.014015509,1.221205597,1001.050072,1720.8795,380.4527,0.37
520290,31217400,12/28/19 07:30,268.15,0.017613672,1.221205597,1001.050072,1719.0018,380.4527,0.37
520295,31217700,12/28/19 07:35,268.15,0.022096369,1.221205597,1001.050072,1659.4199,380.4527,0.37
520300,31218000,12/28/19 07:40,268.15,0.027687335,1.221205597,1001.050072,1657.6731,380.4527,0.37
520305,31218300,12/28/19 07:45,268.15,0.034209889,1.221205597,1001.050072,1605.2986,380.4527,0.37
520310,31218600,12/28/19 07:50,268.15,0.041487345,1.221205597,1001.050072,1603.836,380.4527,0.37
520315,31218900,12/28/19 07:55,268.15,0.049343032,1.221205597,1001.050072,1557.8425,380.4527,0.37
520320,31219200,12/28/19 08:00,268.15,0.057600266,5.800726588,2893.386791,1556.1484,380.4527,0.37
520325,31219500,12/28/19 08:05,268.15854,0.066082369,5.800726588,2893.386791,877.2384,380.4527,0.37
520330,31219800,12/28/19 08:10,268.18253,0.074612651,5.800726588,2893.386791,873.10095,380.4527,0.37
520335,31220100,12/28/19 08:15,268.21964,0.083014439,5.800726588,2893.386791,747.4093,380.4527,0.37
520340,31220400,12/28/19 08:20,268.26746,0.091111053,5.800726588,2893.386791,747.12506,380.4527,0.37
520345,31220700,12/28/19 08:25,268.3236,0.098725811,5.800726588,2893.386791,683.39703,380.4527,0.37
520350,31221000,12/28/19 08:30,268.3857,0.105682034,5.800726588,2893.386791,681.4071,380.4527,0.37
520355,31221300,12/28/19 08:35,268.4514,0.111930484,5.800726588,2893.386791,598.61694,380.4527,0.37
520360,31221600,12/28/19 08:40,268.51825,0.11761505,5.800726588,2893.386791,596.5216,380.4527,0.37
520365,31221900,12/28/19 08:45,268.58392,0.12284873,5.800726588,2893.386791,526.545,380.4527,0.37
520370,31222200,12/28/19 08:50,268.64603,0.127744548,5.800726588,2893.386791,524.3252,380.4527,0.37
520375,31222500,12/28/19 08:55,268.70218,0.132415486,5.800726588,2893.386791,463.78815,380.4527,0.37
520380,31222800,12/28/19 09:00,268.75,0.136974582,5.800726588,2893.386791,461.97086,380.4527,0.37
520385,31223100,12/28/19 09:05,268.79236,0.141534801,5.800726588,2893.386791,407.5738,380.4527,0.37
520390,31223400,12/28/19 09:10,268.83383,0.146209195,5.800726588,2893.386791,405.93115,380.4527,0.37
520395,31223700,12/28/19 09:15,268.87466,0.151110748,5.800726588,2893.386791,356.4867,380.4527,0.37
520400,31224000,12/28/19 09:20,268.91507,0.156352459,5.800726588,2893.386791,354.5679,380.4527,0.37
520405,31224300,12/28/19 09:25,268.9553,0.162047358,5.800726588,2893.386791,307.6292,380.4527,0.37
520410,31224600,12/28/19 09:30,268.99554,0.168308424,5.800726588,2893.386791,307.38736,380.4527,0.37
520415,31224900,12/28/19 09:35,269.036,0.177340011,5.800726588,2893.386791,255.448,380.4527,0.37
520420,31225200,12/28/19 09:40,269.077,0.19065035,5.800726588,2893.386791,254.8779,380.4527,0.37
520425,31225500,12/28/19 09:45,269.11865,0.207308284,5.800726588,2893.386791,201.93263,380.45093,0.37
520430,31225800,12/28/19 09:50,269.16122,0.226382651,5.800726588,2893.386791,201.57556,380.45093,0.37
520435,31226100,12/28/19 09:55,269.20493,0.246942276,5.800726588,2893.386791,149.9012,380.45093,0.37
520440,31226400,12/28/19 10:00,269.25,0.26805604,5.800726588,2893.386791,148.846,380.45093,0.37
520445,31226700,12/28/19 10:05,269.2966,0.288792792,5.800726588,2893.386791,101.30711,380.45093,0.37
520450,31227000,12/28/19 10:10,269.3446,0.308221338,5.800726588,2893.386791,100.420044,380.45093,0.37
520455,31227300,12/28/19 10:15,269.39374,0.32541056,5.800726588,2893.386791,53.38678,380.45093,0.37
520460,31227600,12/28/19 10:20,269.44382,0.339429243,5.800726588,2893.386791,52.874462,380.45093,0.37
520465,31227900,12/28/19 10:25,269.4946,0.349346288,5.800726588,2893.386791,6.635022,380.45093,0.37
520470,31228200,12/28/19 10:30,269.54584,0.35423052,5.800726588,2893.386791,5.479973,380.45093,0.37
520475,31228500,12/28/19 10:35,269.5973,0.356241219,5.800726588,2893.386791,0,380.45093,0.37
520480,31228800,12/28/19 10:40,269.64877,0.358162518,5.800726588,2893.386791,0,380.45093,0.37
520485,31229100,12/28/19 10:45,269.7,0.360000544,5.800726588,2893.386791,0,380.45093,0.37
520490,31229400,12/28/19 10:50,269.75076,0.361761324,5.800726588,2893.386791,0,380.45093,0.37
520495,31229700,12/28/19 10:55,269.80084,0.363451043,5.800726588,2893.386791,0,380.45093,0.37
520500,31230000,12/28/19 11:00,269.85,0.365075767,5.800726588,2893.386791,0,380.45093,0.37
520505,31230300,12/28/19 11:05,269.89795,0.366641623,5.800726588,2893.386791,0,380.45093,0.37
520510,31230600,12/28/19 11:10,269.94464,0.368154696,5.800726588,2893.386791,0,380.45093,0.37
520515,31230900,12/28/19 11:15,269.99008,0.369621093,5.800726588,2893.386791,0,380.45093,0.37
520520,31231200,12/28/19 11:20,270.0343,0.371046919,5.800726588,2893.386791,0,380.45093,0.37
520525,31231500,12/28/19 11:25,270.0774,0.372438282,5.800726588,2893.386791,0,380.45093,0.37
520530,31231800,12/28/19 11:30,270.11935,0.373801267,5.800726588,2893.386791,0,380.45093,0.37
520535,31232100,12/28/19 11:35,270.16025,0.375164135,5.800726588,2893.386791,0,380.45093,0.37
520540,31232400,12/28/19 11:40,270.20007,0.376545223,5.800726588,2893.386791,0,380.45093,0.37
520545,31232700,12/28/19 11:45,270.23895,0.377935959,5.800726588,2893.386791,0,380.45093,0.37
520550,31233000,12/28/19 11:50,270.27686,0.379327635,5.800726588,2893.386791,0,380.45093,0.37
520555,31233300,12/28/19 11:55,270.31387,0.380711659,5.800726588,2893.386791,0,380.45093,0.37
520560,31233600,12/28/19 12:00,270.35,0.382079302,3.053013994,2441.589079,0,380.45093,0.37
520565,31233900,12/28/19 12:05,270.37888,0.383421973,3.053013994,2441.589079,0,380.45093,0.37
520570,31234200,12/28/19 12:10,270.3955,0.384731001,3.053013994,2441.589079,0,380.45093,0.37
520575,31234500,12/28/19 12:15,270.402,0.385997776,3.053013994,2441.589079,0,380.45093,0.37
520580,31234800,12/28/19 12:20,270.40042,0.387213609,3.053013994,2441.589079,0,380.45093,0.37
520585,31235100,12/28/19 12:25,270.39288,0.388369849,3.053013994,2441.589079,0,380.45093,0.37
520590,31235400,12/28/19 12:30,270.3815,0.389457865,3.053013994,2441.589079,0,380.45093,0.37
520595,31235700,12/28/19 12:35,270.36838,0.390214098,3.053013994,2441.589079,0,380.45093,0.37
520600,31236000,12/28/19 12:40,270.3556,0.390426421,3.053013994,2441.589079,0,380.45093,0.37
520605,31236300,12/28/19 12:45,270.34528,0.390163429,3.053013994,2441.589079,0,380.45093,0.37
520610,31236600,12/28/19 12:50,270.3395,0.38949364,3.053013994,2441.589079,0,380.45093,0.37
520615,31236900,12/28/19 12:55,270.34036,0.388485571,3.053013994,2441.589079,0,380.45093,0.37
520620,31237200,12/28/19 13:00,270.35,0.387207816,5.800726588,2893.386791,0,380.45093,0.37
520625,31237500,12/28/19 13:05,270.37244,0.385728835,5.800726588,2893.386791,0,380.45093,0.37
520630,31237800,12/28/19 13:10,270.40857,0.384117262,5.800726588,2893.386791,0,380.45093,0.37
520635,31238100,12/28/19 13:15,270.45578,0.382441596,5.800726588,2893.386791,0,380.45093,0.37
520640,31238400,12/28/19 13:20,270.5115,0.380770352,5.800726588,2893.386791,0,380.45093,0.37
520645,31238700,12/28/19 13:25,270.5731,0.379172107,5.800726588,2893.386791,0,380.45093,0.37
520650,31239000,12/28/19 13:30,270.63797,0.377715417,5.800726588,2893.386791,0,380.45093,0.37
520655,31239300,12/28/19 13:35,270.70352,0.376285304,5.800726588,2893.386791,0,380.45093,0.37
520660,31239600,12/28/19 13:40,270.76712,0.374678037,5.800726588,2893.386791,0,380.45093,0.37
520665,31239900,12/28/19 13:45,270.82617,0.372829051,5.800726588,2893.386791,0,380.45093,0.37
520670,31240200,12/28/19 13:50,270.87808,0.370673881,5.800726588,2893.386791,0,380.45093,0.37
520675,31240500,12/28/19 13:55,270.92023,0.368147866,5.800726588,2893.386791,0,380.45093,0.37
520680,31240800,12/28/19 14:00,270.95,0.36518644,5.800726588,2893.386791,0,380.45093,0.37
520685,31241100,12/28/19 14:05,270.96643,0.361725138,5.800726588,2893.386791,0,380.45093,0.37
520690,31241400,12/28/19 14:10,270.97034,0.357699298,5.800726588,2893.386791,0,380.45093,0.37
520695,31241700,12/28/19 14:15,270.96185,0.353044416,5.800726588,2893.386791,0,380.45093,0.37
520700,31242000,12/28/19 14:20,270.94113,0.347695907,5.800726588,2893.386791,0,380.45093,0.37
520705,31242300,12/28/19 14:25,270.90826,0.341589207,5.800726588,2893.386791,0,380.45093,0.37
520710,31242600,12/28/19 14:30,270.86343,0.334659773,5.800726588,2893.386791,0,380.45093,0.37
520715,31242900,12/28/19 14:35,270.80673,0.32549994,5.800726588,2893.386791,0,380.45093,0.37
