,Time,datetime,T_OA,HgloHor1,Core_OccN,CORE_IntGaiTot,Core_HeaPow,Core_FanPow,Core_OAVol,P1_OccN,P1_IntGaiTot,P1_HeaPow,P1_FanPow,P1_OAVol,P2_OccN,P2_IntGaiTot,P2_HeaPow,P2_FanPow,P2_OAVol,P3_OccN,P3_IntGaiTot,P3_HeaPow,P3_FanPow,P3_OAVol,P4_OccN,P4_IntGaiTot,P4_HeaPow,P4_FanPow,P4_OAVol
528480,31795200,2020-01-04 00:00:00,270.35,0.0,0.0,724.6411308,0.0,5.898723,0.00014714492,0.0,549.3249,0.0,7.4810686,3.092328e-05,0.0,325.8666,0.0,7.481983,7.481983,0.0,549.3249,0.0,7.123713,0.098213725,0.0,325.8666,0.0,7.745967,1.6037526e-06
528485,31795500,2020-01-04 00:05:00,270.35,0.0,0.0,724.6411308,0.0,5.898723,0.00014714492,0.0,549.3249,0.0,7.4810686,3.0923282e-05,0.0,325.8666,0.0,7.481958,7.481958,0.0,549.3249,0.0,7.123713,0.098213725,0.0,325.8666,0.0,7.745939,1.6984908e-06
528490,31795800,2020-01-04 00:10:00,270.35,0.0,0.0,724.6411308,0.0,5.898723,0.00014714492,0.0,549.3249,0.0,7.4810686,3.0923282e-05,0.0,325.8666,0.0,7.481936,7.481936,0.0,549.3249,0.0,7.123713,0.098213725,0.0,325.8666,0.0,7.7459145,1.7810887e-06
528495,31796100,2020-01-04 00:15:00,270.35,0.0,0.0,724.6411308,0.0,5.898723,0.00014714492,0.0,549.3249,0.0,7.4810686,3.0923282e-05,0.0,325.8666,0.0,7.481916,7.481916,0.0,549.3249,0.0,7.123713,0.098213725,0.0,325.8666,0.0,7.745892,1.855733e-06
528500,31796400,2020-01-04 00:20:00,270.35,0.0,0.0,724.6411308,0.0,5.898723,0.00014714492,0.0,549.3249,0.0,7.4810686,3.0923282e-05,0.0,325.8666,0.0,7.481899,7.481899,0.0,549.3249,0.0,7.123713,0.098213725,0.0,325.8666,0.0,7.745873,1.9208119e-06
528505,31796700,2020-01-04 00:25:00,270.35,0.0,0.0,724.6411308,0.0,5.898723,0.00014714492,0.0,549.3249,0.0,7.4810686,3.0923282e-05,0.0,325.8666,0.0,7.4818835,7.4818835,0.0,549.3249,0.0,7.123713,0.098213725,0.0,325.8666,0.0,7.745856,1.97917e-06
528510,31797000,2020-01-04 00:30:00,270.35,0.0,0.0,724.6411308,0.0,5.898723,0.00014714492,0.0,549.3249,0.0,7.4810686,3.0923282e-05,0.0,325.8666,0.0,7.4818697,7.4818697,0.0,549.3249,0.0,7.123713,0.098213725,0.0,325.8666,0.0,7.7458405,2.0307953e-06
528515,31797300,2020-01-04 00:35:00,270.35,0.0,0.0,724.6411308,0.0,5.898723,0.00014714492,0.0,549.3249,0.0,7.4810686,3.0923282e-05,0.0,325.8666,0.0,7.481858,7.481858,0.0,549.3249,0.0,7.123713,0.098213725,0.0,325.8666,0.0,7.7458267,2.0767875e-06
528520,31797600,2020-01-04 00:40:00,270.35,0.0,0.0,724.6411308,0.0,5.898723,0.00014714492,0.0,549.3249,0.0,7.4810686,3.0923282e-05,0.0,325.8666,0.0,7.481847,7.481847,0.0,549.3249,0.0,7.123713,0.098213725,0.0,325.8666,0.0,7.745815,2.1174735e-06
528525,31797900,2020-01-04 00:45:00,270.35,0.0,0.0,724.6411308,0.0,5.898723,0.00014714492,0.0,549.3249,0.0,7.4810686,3.0923282e-05,0.0,325.8666,0.0,7.4818373,7.4818373,0.0,549.3249,0.0,7.123713,0.098213725,0.0,325.8666,0.0,7.7458043,2.1537203e-06
