keys,spawnrefsmalloffice,spawnrefmediumoffice
0,senHouDec_y,
1,senTemOA_y,
2,senTemRoom_y,
3,senTemRoom1_y,
4,senTemRoom2_y,
5,senTemRoom3_y,
6,maxTemp_y,
7,minTemp_y,
8,meanTemp_y,
9,senTemRoom4_y,
10,senCCPow_y,
11,senCCPow1_y,
12,senCCPow2_y,
13,senCCPow3_y,
14,senCCPow4_y,
15,senFanPow_y,
16,senFanPow1_y,
17,senFanPow2_y,
18,senFanPow3_y,
19,senFanPow4_y,
20,senHeaPow_y,
21,senHeaPow1_y,
22,senHeaPow2_y,
23,senHeaPow3_y,
24,senHeaPow4_y,
25,senPowCor_y,
26,senPowPer1_y,
27,senPowPer2_y,
28,senPowPer3_y,
29,senPowPer4_y,
30,senPowTot_y,
31,time,
32,start_time,
33,dr_start_time,
34,dr_end_time,
35,state,
36,reward,
37,action,
38,thermal_discomfort_Z0,
39,thermal_discomfort_Z1,
40,thermal_discomfort_Z2,
41,thermal_discomfort_Z3,
42,thermal_discomfort_Z4,
43,hvac_energy_Z0,
44,hvac_energy_Z1,
45,hvac_energy_Z2,
46,hvac_energy_Z3,
47,hvac_energy_Z4,
48,dr_power_limit,
49,UpperSetp[core_zn],
50,LowerSetp[core_zn],
51,UpperSetp[perimeter_zn_1],
52,LowerSetp[perimeter_zn_1],
53,UpperSetp[perimeter_zn_2],
54,LowerSetp[perimeter_zn_2],
55,UpperSetp[perimeter_zn_3],
56,LowerSetp[perimeter_zn_3],
57,UpperSetp[perimeter_zn_4],
58,LowerSetp[perimeter_zn_4],
