,Time,datetime,P1_HeaPow,T_OA,HgloHor1,P1_OAVol,P1_OccN,P1_IntGaiTot,TOA in K
259200,259200,1/4/20 00:00,0,-2.8,0,0.000204595,0,0.189855329,270.35
259500,259500,1/4/20 00:05,0,-2.8,0,0.000188381,0,0.189855329,270.35
259800,259800,1/4/20 00:10,0,-2.8,0,0.000174162,0,0.189855329,270.35
260100,260100,1/4/20 00:15,0,-2.8,0,0.000161632,0,0.189855329,270.35
260400,260400,1/4/20 00:20,0,-2.8,0,0.000150536,0,0.189855329,270.35
260700,260700,1/4/20 00:25,0,-2.8,0,0.000140665,0,0.189855329,270.35
261000,261000,1/4/20 00:30,0,-2.8,0,0.000131845,0,0.189855329,270.35
261300,261300,1/4/20 00:35,0,-2.8,0,0.000123928,0,0.189855329,270.35
261600,261600,1/4/20 00:40,0,-2.8,0,0.000116795,0,0.189855329,270.35
261900,261900,1/4/20 00:45,0,-2.8,0,0.000110342,0,0.189855329,270.35
262200,262200,1/4/20 00:50,0,-2.8,0,0.000104484,0,0.189855329,270.35
262500,262500,1/4/20 00:55,0,-2.8,0,9.91E-05,0,0.189855329,270.35
262800,262800,1/4/20 01:00,0,-2.8,0,9.43E-05,0,0.189855329,270.35
263100,263100,1/4/20 01:05,0,-2.8,0,8.98E-05,0,0.189855329,270.35
263400,263400,1/4/20 01:10,0,-2.8,0,8.57E-05,0,0.189855329,270.35
263700,263700,1/4/20 01:15,0,-2.8,0,8.19E-05,0,0.189855329,270.35
264000,264000,1/4/20 01:20,0,-2.8,0,7.84E-05,0,0.189855329,270.35
264300,264300,1/4/20 01:25,0,-2.8,0,7.52E-05,0,0.189855329,270.35
264600,264600,1/4/20 01:30,0,-2.8,0,7.21E-05,0,0.189855329,270.35
264900,264900,1/4/20 01:35,0,-2.8,0,6.93E-05,0,0.189855329,270.35
265200,265200,1/4/20 01:40,0,-2.8,0,6.67E-05,0,0.189855329,270.35
265500,265500,1/4/20 01:45,0,-2.8,0,6.43E-05,0,0.189855329,270.35
265800,265800,1/4/20 01:50,0,-2.8,0,6.2E-05,0,0.189855329,270.35
266100,266100,1/4/20 01:55,0,-2.8,0,5.98E-05,0,0.189855329,270.35
266400,266400,1/4/20 02:00,0,-2.8,0,5.78E-05,0,0.189855329,270.35
266700,266700,1/4/20 02:05,0,-2.8,0,5.59E-05,0,0.189855329,270.35
267000,267000,1/4/20 02:10,0,-2.8,0,5.41E-05,0,0.189855329,270.35
267300,267300,1/4/20 02:15,0,-2.8,0,5.25E-05,0,0.189855329,270.35
267600,267600,1/4/20 02:20,0,-2.8,0,5.09E-05,0,0.189855329,270.35
267900,267900,1/4/20 02:25,0,-2.8,0,4.94E-05,0,0.189855329,270.35
268200,268200,1/4/20 02:30,0,-2.8,0,4.79E-05,0,0.189855329,270.35
268500,268500,1/4/20 02:35,0,-2.8,0,4.66E-05,0,0.189855329,270.35
268800,268800,1/4/20 02:40,0,-2.8,0,4.53E-05,0,0.189855329,270.35
269100,269100,1/4/20 02:45,0,-2.8,0,4.41E-05,0,0.189855329,270.35
269400,269400,1/4/20 02:50,0,-2.8,0,4.29E-05,0,0.189855329,270.35
269700,269700,1/4/20 02:55,0,-2.8,0,4.18E-05,0,0.189855329,270.35
270000,270000,1/4/20 03:00,0,-2.8,0,4.07E-05,0,0.189855329,270.35
270300,270300,1/4/20 03:05,0,-2.80985,0,3.97E-05,0,0.189855329,270.34015
270600,270600,1/4/20 03:10,0,-2.83704,0,3.88E-05,0,0.189855329,270.31296
270900,270900,1/4/20 03:15,0,-2.87812,0,3.78E-05,0,0.189855329,270.27188
271200,271200,1/4/20 03:20,0,-2.92963,0,3.7E-05,0,0.189855329,270.22037
271500,271500,1/4/20 03:25,0,-2.98807,0,3.61E-05,0,0.189855329,270.16193
271800,271800,1/4/20 03:30,0,-3.05,0,3.53E-05,0,0.189855329,270.1
272100,272100,1/4/20 03:35,0,-3.1119,0,3.45E-05,0,0.189855329,270.0381
272400,272400,1/4/20 03:40,0,-3.17036,0,3.38E-05,0,0.189855329,269.97964
272700,272700,1/4/20 03:45,0,-3.22187,0,3.3E-05,0,0.189855329,269.92813
273000,273000,1/4/20 03:50,0,-3.26298,0,3.24E-05,0,0.189855329,269.88702
273300,273300,1/4/20 03:55,0,-3.29017,0,3.17E-05,0,0.189855329,269.85983
273600,273600,1/4/20 04:00,0,-3.3,0,3.11E-05,0,0.189855329,269.85
273900,273900,1/4/20 04:05,0,-3.3,0,3.04E-05,0,0.189855329,269.85
274200,274200,1/4/20 04:10,0,-3.3,0,2.98E-05,0,0.189855329,269.85
274500,274500,1/4/20 04:15,0,-3.3,0,2.93E-05,0,0.189855329,269.85
274800,274800,1/4/20 04:20,0,-3.3,0,2.87E-05,0,0.189855329,269.85
275100,275100,1/4/20 04:25,0,-3.3,0,2.82E-05,0,0.189855329,269.85
275400,275400,1/4/20 04:30,0,-3.3,0,2.77E-05,0,0.189855329,269.85
275700,275700,1/4/20 04:35,0,-3.3,0,2.72E-05,0,0.189855329,269.85
276000,276000,1/4/20 04:40,0,-3.3,0,2.67E-05,0,0.189855329,269.85
276300,276300,1/4/20 04:45,0,-3.3,0,2.62E-05,0,0.189855329,269.85
276600,276600,1/4/20 04:50,0,-3.3,0,2.58E-05,0,0.189855329,269.85
276900,276900,1/4/20 04:55,0,-3.3,0,2.53E-05,0,0.189855329,269.85
277200,277200,1/4/20 05:00,0,-3.3,0,2.49E-05,0,0.189855329,269.85
277500,277500,1/4/20 05:05,0,-3.3,0,2.45E-05,0,0.189855329,269.85
277800,277800,1/4/20 05:10,0,-3.3,0,2.41E-05,0,0.189855329,269.85
278100,278100,1/4/20 05:15,0,-3.3,0,2.37E-05,0,0.189855329,269.85
278400,278400,1/4/20 05:20,0,-3.3,0,2.33E-05,0,0.189855329,269.85
278700,278700,1/4/20 05:25,0,-3.3,0,2.33E-05,0,0.189855329,269.85
279000,279000,1/4/20 05:30,1,-3.3,0,2.33E-05,0,0.189855329,269.85
279300,279300,1/4/20 05:35,0.627206012,-3.3,0,2.33E-05,0,0.189855329,269.85
279600,279600,1/4/20 05:40,0.257995723,-3.3,0,2.33E-05,0,0.189855329,269.85
279900,279900,1/4/20 05:45,0.260056058,-3.3,0,2.33E-05,0,0.189855329,269.85
280200,280200,1/4/20 05:50,0.247896534,-3.3,0,2.33E-05,0,0.189855329,269.85
280500,280500,1/4/20 05:55,0.234261805,-3.3,0,2.33E-05,0,0.189855329,269.85
280800,280800,1/4/20 06:00,0.22567231,-3.3,0,2.33E-05,0,0.189855329,269.85
281100,281100,1/4/20 06:05,0.340299369,-3.2919,0,2.33E-05,0,0.189855329,269.8581
281400,281400,1/4/20 06:10,0.334904337,-3.26926,0,2.33E-05,0,0.189855329,269.88074
281700,281700,1/4/20 06:15,0.329028833,-3.23466,0,2.33E-05,0,0.189855329,269.91534
282000,282000,1/4/20 06:20,0.32385427,-3.19056,0,2.33E-05,0,0.189855329,269.95944
282300,282300,1/4/20 06:25,0.319080783,-3.13953,0,2.33E-05,0,0.189855329,270.01047
282600,282600,1/4/20 06:30,0.314855843,-3.08408,0,2.33E-05,0,0.189855329,270.06592
282900,282900,1/4/20 06:35,0.310972846,-3.02674,0.000146459,2.33E-05,0,0.189855329,270.12326
283200,283200,1/4/20 06:40,0.307451356,-2.97004,0.000642013,2.32999999999999E-05,0,0.189855329,270.17996
283500,283500,1/4/20 06:45,0.304147577,-2.91648,0.001570925,2.32999999999999E-05,0,0.189855329,270.23352
283800,283800,1/4/20 06:50,0.30120573,-2.8686,0.003017461,2.32999999999999E-05,0,0.189855329,270.2814
284100,284100,1/4/20 06:55,0.298599224,-2.82892,0.005065883,2.32999999999999E-05,0,0.189855329,270.32108
284400,284400,1/4/20 07:00,0.296204077,-2.8,0.007800457,2.32999999999999E-05,0,0.210950365,270.35
284700,284700,1/4/20 07:05,0.285977485,-2.7841,0.011305446,2.32999999999999E-05,0,0.210950365,270.3659
285000,285000,1/4/20 07:10,0.282572132,-2.78,0.015665116,2.32999999999999E-05,0,0.210950365,270.37
285300,285300,1/4/20 07:15,0.280303549,-2.78507,0.020963728,2.32999999999999E-05,0,0.210950365,270.36493
285600,285600,1/4/20 07:20,0.278324085,-2.79664,0.027285549,2.32999999999999E-05,0,0.210950365,270.35336
285900,285900,1/4/20 07:25,0.276512124,-2.81196,0.034714841,2.32999999999999E-05,0,0.210950365,270.33804
286200,286200,1/4/20 07:30,0.27091707,-2.8284,0.043335872,2.32999999999999E-05,0,0.210950365,270.3216
286500,286500,1/4/20 07:35,0.26812227,-2.84327,0.052947881,2.32999999999999E-05,0,0.210950365,270.30673
286800,286800,1/4/20 07:40,0.265375106,-2.85386,0.06321437,2.32999999999999E-05,0,0.210950365,270.29614
287100,287100,1/4/20 07:45,0.262658552,-2.85752,0.074016028,2.32999999999999E-05,0,0.210950365,270.29248
287400,287400,1/4/20 07:50,0.259959352,-2.85157,0.085233518,2.32999999999999E-05,0,0.210950365,270.29843
