,PSZACcontroller_oveHeaCor_u,PSZACcontroller_oveHeaPer1_u,PSZACcontroller_oveHeaPer2_u,PSZACcontroller_oveHeaPer3_u,PSZACcontroller_oveHeaPer4_u,TDryBul,HGloHor,Occupancy[core_zn],Occupancy[perimeter_zn_1],Occupancy[perimeter_zn_2],Occupancy[perimeter_zn_3],Occupancy[perimeter_zn_4],senTemRoom_y,senTemRoom1_y,senTemRoom2_y,senTemRoom3_y,senTemRoom4_y,timestamp
2020-01-01 00:05:00,0.0,0.0,0.0,0.0,0.0,-12.158333333333333,0.0,0.0,0.0,0.0,0.0,0.0,293.93154987749097,293.3511437502618,293.2356012355694,293.19626512077633,293.1690693414227,2020-01-01 00:05:00
2020-01-01 00:10:00,0.0,0.0,0.0,0.0,0.0,-12.116666666666665,0.0,0.0,0.0,0.0,0.0,0.0,294.70814807533986,293.550383767387,293.31954540798665,293.24185786097615,293.187341386381,2020-01-01 00:10:00
2020-01-01 00:15:00,0.0,0.0,0.0,0.0,0.0,-12.075,0.0,0.0,0.0,0.0,0.0,0.0,294.6387260712095,293.3966112312632,293.16239733192987,293.10417445440424,293.0336997622394,2020-01-01 00:15:00
2020-01-01 00:20:00,0.0,0.0,0.0,0.0,0.0,-12.033333333333333,0.0,0.0,0.0,0.0,0.0,0.0,294.5701770827787,293.2441926364603,293.00737604539546,292.96756000826144,292.8820268529547,2020-01-01 00:20:00
2020-01-01 00:25:00,0.0,0.0,0.0,0.0,0.0,-11.991666666666665,0.0,0.0,0.0,0.0,0.0,0.0,294.5565063839924,293.07875445745753,292.85173449237914,292.8242115365343,292.7360681276493,2020-01-01 00:25:00
2020-01-01 00:30:00,0.0,0.0,0.0,0.0,0.0,-11.95,0.0,0.0,0.0,0.0,0.0,0.0,294.5435992059243,292.91477512222303,292.69814303964125,292.6819504875108,292.5918757631972,2020-01-01 00:30:00
2020-01-01 00:35:00,0.0,0.0,0.0,0.0,0.0,-11.908333333333333,0.0,0.0,0.0,0.0,0.0,0.0,294.5192400251762,292.81115901109706,292.59801577877226,292.58428150999373,292.48936109087776,2020-01-01 00:35:00
2020-01-01 00:40:00,0.0,0.0,0.0,0.0,0.0,-11.866666666666665,0.0,0.0,0.0,0.0,0.0,0.0,294.4957167234953,292.7083140325977,292.4988859423631,292.4871735576227,292.3877304633426,2020-01-01 00:40:00
2020-01-01 00:45:00,0.0,0.0,0.0,0.0,0.0,-11.825,0.0,0.0,0.0,0.0,0.0,0.0,294.4581756963546,292.6228398109708,292.4113486112421,292.4010294801721,292.2999506236084,2020-01-01 00:45:00
2020-01-01 00:50:00,0.0,0.0,0.0,0.0,0.0,-11.783333333333333,0.0,0.0,0.0,0.0,0.0,0.0,294.42145466963296,292.5378025960868,292.3243709159898,292.3152078863013,292.2126061025899,2020-01-01 00:50:00
2020-01-01 00:55:00,0.0,0.0,0.0,0.0,0.0,-11.741666666666665,0.0,0.0,0.0,0.0,0.0,0.0,294.383438197046,292.4530826396183,292.2385970675027,292.23514484207055,292.12483295360823,2020-01-01 00:55:00
2020-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,-11.7,0.0,0.0,0.0,0.0,0.0,0.0,294.3461044116831,292.3686567413436,292.1531737696372,292.15525202354854,292.0373342260864,2020-01-01 01:00:00
2020-01-01 01:05:00,0.0,0.0,0.0,0.0,0.0,-11.649999999999999,0.0,0.0,0.0,0.0,0.0,0.0,294.3115715921647,292.3133923129919,292.09470504684504,292.09425602386113,291.97776705616377,2020-01-01 01:05:00
2020-01-01 01:10:00,0.0,0.0,0.0,0.0,0.0,-11.6,0.0,0.0,0.0,0.0,0.0,0.0,294.27756223083816,292.25809278409537,292.03609959189214,292.03321368339516,291.9179961397648,2020-01-01 01:10:00
2020-01-01 01:15:00,0.0,0.0,0.0,0.0,0.0,-11.549999999999999,0.0,0.0,0.0,0.0,0.0,0.0,294.24517621982085,292.2140187349741,291.98692138915123,291.9846812084266,291.86794228327545,2020-01-01 01:15:00
2020-01-01 01:20:00,0.0,0.0,0.0,0.0,0.0,-11.5,0.0,0.0,0.0,0.0,0.0,0.0,294.21317833510983,292.169785264671,291.93744985169616,291.93598248949036,291.8175462670429,2020-01-01 01:20:00
2020-01-01 01:25:00,0.0,0.0,0.0,0.0,0.0,-11.45,0.0,0.0,0.0,0.0,0.0,0.0,294.1820052423619,292.12475781419124,291.88731856785125,291.88961581135806,291.76631738361147,2020-01-01 01:25:00
2020-01-01 01:30:00,0.0,0.0,0.0,0.0,0.0,-11.399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,294.1511132689634,292.0795865385616,291.83693535804144,291.8430806919443,291.7148091211234,2020-01-01 01:30:00
2020-01-01 01:35:00,0.0,0.0,0.0,0.0,0.0,-11.35,0.0,0.0,0.0,0.0,0.0,0.0,294.1211682694678,292.03608216104396,291.78957292530885,291.7987100343566,291.66657697604063,2020-01-01 01:35:00
2020-01-01 01:40:00,0.0,0.0,0.0,0.0,0.0,-11.299999999999999,0.0,0.0,0.0,0.0,0.0,0.0,294.091428020647,291.9924398799975,291.7419590324168,291.7541786509777,291.6180752191483,2020-01-01 01:40:00
2020-01-01 01:45:00,0.0,0.0,0.0,0.0,0.0,-11.25,0.0,0.0,0.0,0.0,0.0,0.0,294.06278933487715,291.9528453154317,291.6992771631072,291.7135382875316,291.574796527451,2020-01-01 01:45:00
2020-01-01 01:50:00,0.0,0.0,0.0,0.0,0.0,-11.2,0.0,0.0,0.0,0.0,0.0,0.0,294.03428802928727,291.9131101522127,291.65633488678134,291.67274213716973,291.5312447742626,2020-01-01 01:50:00
2020-01-01 01:55:00,0.0,0.0,0.0,0.0,0.0,-11.15,0.0,0.0,0.0,0.0,0.0,0.0,294.00685081158036,291.8765834258938,291.616814469184,291.6353012158097,291.4911789090018,2020-01-01 01:55:00
2020-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,293.9795034547143,291.83991943906443,291.5770437423201,291.5977113556065,291.45085610092934,2020-01-01 02:00:00
2020-01-01 02:05:00,0.0,0.0,0.0,0.0,0.0,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,293.9530897908226,291.8058706830229,291.54007817037206,291.5624205851962,291.413414964553,2020-01-01 02:05:00
2020-01-01 02:10:00,0.0,0.0,0.0,0.0,0.0,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,293.92673103600293,291.77169477021727,291.50288358969345,291.5269974138044,291.37574210618044,2020-01-01 02:10:00
2020-01-01 02:15:00,0.0,0.0,0.0,0.0,0.0,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,293.90099880780724,291.7395365415805,291.46810629981127,291.4936621239661,291.34056836172806,2020-01-01 02:15:00
2020-01-01 02:20:00,0.0,0.0,0.0,0.0,0.0,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,293.8752984268071,291.7072648182725,291.43312328840193,291.46020995639594,291.3051884623401,2020-01-01 02:20:00
2020-01-01 02:25:00,0.0,0.0,0.0,0.0,0.0,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,293.8510170028406,291.67676361664843,291.40030892390695,291.4287499909376,291.2720344265805,2020-01-01 02:25:00
