TDryBul,TDewPoi,relHum,pAtm,HHorIR,HGloHor,HDirNor,HDifHor,winDir,winSpe,nTot,nOpa,ceiHei,time
-12.2,-16.1,73.0,99500.0,0.0,0.0,0.0,0.0,270.0,2.6,9.0,9.0,2740.0,0.0
-11.7,-15.6,73.0,99600.0,0.0,0.0,0.0,0.0,250.0,2.6,10.0,10.0,1680.0,3600.0
-11.1,-15.0,73.0,99500.0,0.0,0.0,0.0,0.0,240.0,2.1,10.0,10.0,1400.0,7200.0
-11.1,-15.0,73.0,99500.0,0.0,0.0,0.0,0.0,230.0,2.6,10.0,10.0,1400.0,10800.0
-10.6,-14.4,73.0,99500.0,0.0,0.0,0.0,0.0,240.0,2.6,10.0,10.0,1400.0,14400.0
-10.6,-14.4,73.0,99500.0,0.0,0.0,0.0,0.0,210.0,2.6,10.0,10.0,1830.0,18000.0
-10.6,-13.9,77.0,99500.0,0.0,0.0,0.0,0.0,180.0,3.1,10.0,10.0,1680.0,21600.0
-10.0,-13.3,77.0,99500.0,43.0,12.0,22.0,10.0,180.0,2.6,8.0,8.0,2130.0,25200.0
-8.9,-13.3,71.0,99500.0,236.0,115.0,397.0,47.0,190.0,3.1,0.0,0.0,77777.0,28800.0
-6.7,-13.3,60.0,99500.0,410.0,244.0,587.0,71.0,220.0,5.7,2.0,0.0,77777.0,32400.0
-5.0,-11.1,63.0,99400.0,531.0,341.0,688.0,80.0,210.0,5.7,0.0,0.0,77777.0,36000.0
-3.3,-9.4,63.0,99300.0,591.0,364.0,521.0,144.0,220.0,5.7,6.0,2.0,77777.0,39600.0
-2.2,-8.3,63.0,99200.0,586.0,231.0,151.0,168.0,230.0,5.2,10.0,8.0,6710.0,43200.0
-1.1,-7.8,61.0,99200.0,516.0,180.0,54.0,161.0,260.0,4.1,10.0,9.0,6710.0,46800.0
-1.1,-7.2,64.0,99200.0,386.0,118.0,93.0,93.0,260.0,3.1,9.0,9.0,3660.0,50400.0
-1.1,-6.1,69.0,99200.0,206.0,48.0,36.0,43.0,210.0,1.5,10.0,10.0,3660.0,54000.0
-1.1,-6.1,69.0,99200.0,25.0,5.0,0.0,5.0,0.0,0.0,10.0,10.0,3660.0,57600.0
-1.7,-6.1,72.0,99200.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,2440.0,61200.0
-2.2,-6.1,75.0,99200.0,0.0,0.0,0.0,0.0,160.0,2.1,10.0,10.0,2440.0,64800.0
-1.1,-5.6,72.0,99200.0,0.0,0.0,0.0,0.0,160.0,2.6,10.0,10.0,3050.0,68400.0
-1.7,-5.0,78.0,99100.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,3050.0,72000.0
-1.1,-5.0,75.0,99100.0,0.0,0.0,0.0,0.0,160.0,2.6,10.0,10.0,3050.0,75600.0
-1.7,-5.0,78.0,99000.0,0.0,0.0,0.0,0.0,180.0,2.6,6.0,6.0,3050.0,79200.0
-1.7,-6.1,72.0,99000.0,0.0,0.0,0.0,0.0,190.0,2.6,3.0,3.0,77777.0,82800.0
-3.9,-6.1,85.0,99000.0,0.0,0.0,0.0,0.0,170.0,2.1,2.0,2.0,77777.0,86400.0
-2.8,-6.1,78.0,99000.0,0.0,0.0,0.0,0.0,200.0,3.1,4.0,3.0,77777.0,90000.0
-3.3,-6.7,78.0,98900.0,0.0,0.0,0.0,0.0,180.0,2.6,2.0,2.0,77777.0,93600.0
-2.8,-6.1,78.0,98900.0,0.0,0.0,0.0,0.0,120.0,2.1,8.0,6.0,3050.0,97200.0
-1.1,-5.6,72.0,98900.0,0.0,0.0,0.0,0.0,190.0,3.6,10.0,8.0,3050.0,100800.0
-1.1,-5.6,72.0,98900.0,0.0,0.0,0.0,0.0,210.0,3.1,10.0,8.0,7620.0,104400.0
-0.6,-5.6,69.0,99000.0,0.0,0.0,0.0,0.0,200.0,2.6,10.0,10.0,7620.0,108000.0
-0.6,-5.6,69.0,98900.0,43.0,8.0,0.0,8.0,190.0,2.6,10.0,10.0,2440.0,111600.0
0.0,-5.0,69.0,99000.0,236.0,46.0,5.0,45.0,180.0,3.6,10.0,10.0,2440.0,115200.0
0.6,-5.0,67.0,99000.0,410.0,123.0,1.0,122.0,160.0,3.6,10.0,10.0,2440.0,118800.0
1.7,-5.0,62.0,98900.0,532.0,133.0,1.0,133.0,180.0,3.6,10.0,10.0,2440.0,122400.0
1.7,-4.4,64.0,98800.0,593.0,176.0,2.0,176.0,160.0,2.1,10.0,10.0,1830.0,126000.0
1.7,-3.9,67.0,98600.0,588.0,186.0,3.0,185.0,0.0,0.0,10.0,10.0,1830.0,129600.0
0.0,-1.1,92.0,98500.0,519.0,166.0,0.0,166.0,160.0,2.6,10.0,10.0,240.0,133200.0
-0.6,-1.1,96.0,98400.0,389.0,122.0,0.0,122.0,120.0,2.1,10.0,10.0,910.0,136800.0
0.6,-1.1,89.0,98300.0,209.0,54.0,0.0,54.0,90.0,3.6,10.0,10.0,1830.0,140400.0
