Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),NaturalGas:Facility [J](Hourly),Heating:NaturalGas [J](Hourly),WaterSystems:NaturalGas [J](Hourly) 
 01/01  01:00:00,325392253.3639152,193892712.596968,0.0,9649497.642210719,53294400.0,57896985.85326433,10628272.932648657,30384.33882352941,19616055.476065589,19544055.476065589,72000.0 
 01/01  02:00:00,286804498.9176926,157076336.97285349,0.0,9649497.642210719,53294400.0,57896985.85326433,8856894.110540549,30384.33882352941,15526426.212733429,15454426.212733429,72000.0 
 01/01  03:00:00,340421315.3194814,208478929.84700705,0.0,9649497.642210719,53294400.0,57896985.85326433,11071117.638175687,30384.33882352941,24918261.31972853,20947499.263323565,3970762.0564049675 
 01/01  04:00:00,296436761.0473188,166708599.10247974,0.0,9649497.642210719,53294400.0,57896985.85326433,8856894.110540549,30384.33882352941,16996174.60652412,16924174.60652412,72000.0 
 01/01  05:00:00,355621663.9174918,223679278.44501753,0.0,9649497.642210719,53294400.0,57896985.85326433,11071117.638175687,30384.33882352941,27106514.073415586,23135525.35201428,3970988.721401302 
 01/01  06:00:00,306506023.99644616,176777862.051607,0.0,9649497.642210719,53294400.0,57896985.85326433,8856894.110540549,30384.33882352941,18527796.363640459,18455796.363640459,72000.0 
 01/01  07:00:00,363178601.1913902,231236215.71891598,0.0,9649497.642210719,53294400.0,57896985.85326433,11071117.638175687,30384.33882352941,28449488.05774118,24478796.675965214,3970691.381775969 
 01/01  08:00:00,265372526.56816385,171173964.6233247,0.0,9649497.642210719,17764800.0,57896985.85326433,8856894.110540549,30384.33882352941,19315298.63394435,19243298.63394435,72000.0 
 01/01  09:00:00,254463102.84579564,175815117.37332136,0.0,9649497.642210719,0.0,57896985.85326433,11071117.638175687,30384.33882352941,28171459.12182817,24200494.08076366,3970965.041064508 
 01/01  10:00:00,191912589.2585201,115478827.31368098,0.0,9649497.642210719,0.0,57896985.85326433,8856894.110540549,30384.33882352941,17142446.408036766,17070446.408036766,72000.0 
