Time,VAV_1:DesPer 1:Des Heat Mass Flow [kg/s],VAV_1:DesPer 1:Des Heat Cap [W],VAV_1:DesPer 1:Des Cool Mass Flow [kg/s],VAV_1:DesPer 1:Des Sens Cool Cap [W],VAV_1:DesPer 1:Des Tot Cool Cap [W],VAV_1:DesPer 2:Des Heat Mass Flow [kg/s],VAV_1:DesPer 2:Des Heat Cap [W],VAV_1:DesPer 2:Des Cool Mass Flow [kg/s],VAV_1:DesPer 2:Des Sens Cool Cap [W],VAV_1:DesPer 2:Des Tot Cool Cap [W],VAV_2:DesPer 1:Des Heat Mass Flow [kg/s],VAV_2:DesPer 1:Des Heat Cap [W],VAV_2:DesPer 1:Des Cool Mass Flow [kg/s],VAV_2:DesPer 1:Des Sens Cool Cap [W],VAV_2:DesPer 1:Des Tot Cool Cap [W],VAV_2:DesPer 2:Des Heat Mass Flow [kg/s],VAV_2:DesPer 2:Des Heat Cap [W],VAV_2:DesPer 2:Des Cool Mass Flow [kg/s],VAV_2:DesPer 2:Des Sens Cool Cap [W],VAV_2:DesPer 2:Des Tot Cool Cap [W],VAV_3:DesPer 1:Des Heat Mass Flow [kg/s],VAV_3:DesPer 1:Des Heat Cap [W],VAV_3:DesPer 1:Des Cool Mass Flow [kg/s],VAV_3:DesPer 1:Des Sens Cool Cap [W],VAV_3:DesPer 1:Des Tot Cool Cap [W],VAV_3:DesPer 2:Des Heat Mass Flow [kg/s],VAV_3:DesPer 2:Des Heat Cap [W],VAV_3:DesPer 2:Des Cool Mass Flow [kg/s],VAV_3:DesPer 2:Des Sens Cool Cap [W],VAV_3:DesPer 2:Des Tot Cool Cap [W]
00:10:00,1.969389E+00,3.544629E+04,1.104525E+00,0.000000E+00,0.000000E+00,1.104525E+00,2.126553E+03,1.104525E+00,2.202026E+03,1.421321E+04,2.047170E+00,3.511062E+04,1.104525E+00,0.000000E+00,0.000000E+00,1.104525E+00,2.126553E+03,1.104525E+00,2.202026E+03,1.421321E+04,3.045518E+00,3.080065E+04,1.104525E+00,0.000000E+00,0.000000E+00,1.104525E+00,2.126553E+03,1.144698E+00,3.253826E+03,1.538396E+04
00:20:00,1.969484E+00,3.544588E+04,1.104525E+00,0.000000E+00,0.000000E+00,1.104525E+00,2.295256E+03,1.104525E+00,2.033322E+03,1.381740E+04,2.047310E+00,3.511002E+04,1.104525E+00,0.000000E+00,0.000000E+00,1.104525E+00,2.295256E+03,1.104975E+00,2.044218E+03,1.382966E+04,3.047834E+00,3.079065E+04,1.104525E+00,0.000000E+00,0.000000E+00,1.104525E+00,2.295256E+03,1.146053E+00,3.080403E+03,1.498697E+04
00:30:00,1.969577E+00,3.544548E+04,1.104525E+00,0.000000E+00,0.000000E+00,1.104525E+00,2.463960E+03,1.104525E+00,1.864618E+03,1.329086E+04,2.047449E+00,3.510942E+04,1.104525E+00,0.000000E+00,0.000000E+00,1.104525E+00,2.463960E+03,1.113249E+00,2.076120E+03,1.352875E+04,3.050068E+00,3.078101E+04,1.104525E+00,0.000000E+00,0.000000E+00,1.104525E+00,2.463960E+03,1.146204E+00,2.901290E+03,1.445003E+04
00:40:00,1.969669E+00,3.544508E+04,1.104525E+00,0.000000E+00,0.000000E+00,1.104525E+00,2.632664E+03,1.104525E+00,1.695915E+03,1.276757E+04,2.047588E+00,3.510882E+04,1.104525E+00,0.000000E+00,0.000000E+00,1.104525E+00,2.632664E+03,1.120612E+00,2.085459E+03,1.320541E+04,3.052226E+00,3.077169E+04,1.104525E+00,0.000000E+00,0.000000E+00,1.104525E+00,2.632664E+03,1.145401E+00,2.692469E+03,1.388435E+04
00:50:00,1.969760E+00,3.544469E+04,1.104525E+00,0.000000E+00,0.000000E+00,1.104525E+00,2.801367E+03,1.104525E+00,1.527211E+03,1.224752E+04,2.047727E+00,3.510822E+04,1.104525E+00,0.000000E+00,0.000000E+00,1.104525E+00,2.801367E+03,1.127221E+00,2.077411E+03,1.286577E+04,3.054311E+00,3.076268E+04,1.104525E+00,0.000000E+00,0.000000E+00,1.104525E+00,2.801367E+03,1.143842E+00,2.457717E+03,1.329305E+04
01:00:00,1.969849E+00,3.544431E+04,1.104525E+00,0.000000E+00,0.000000E+00,1.104525E+00,2.970071E+03,1.104525E+00,1.358508E+03,1.173068E+04,2.047865E+00,3.510762E+04,1.104525E+00,0.000000E+00,0.000000E+00,1.104525E+00,2.970071E+03,1.133204E+00,2.053717E+03,1.251115E+04,3.056327E+00,3.075398E+04,1.104525E+00,0.000000E+00,0.000000E+00,1.104525E+00,2.970071E+03,1.141686E+00,2.239402E+03,1.272085E+04
01:10:00,1.969942E+00,3.544391E+04,1.104525E+00,0.000000E+00,0.000000E+00,1.104525E+00,3.082540E+03,1.104525E+00,1.246039E+03,1.138789E+04,2.048017E+00,3.510697E+04,1.104525E+00,0.000000E+00,0.000000E+00,1.104525E+00,3.082540E+03,1.140383E+00,2.100688E+03,1.234848E+04,3.058299E+00,3.074546E+04,1.104525E+00,0.000000E+00,0.000000E+00,1.104525E+00,3.082540E+03,1.140777E+00,2.094286E+03,1.234145E+04
01:20:00,1.970034E+00,3.544351E+04,1.104525E+00,0.000000E+00,0.000000E+00,1.104525E+00,3.195009E+03,1.104525E+00,1.133570E+03,1.104650E+04,2.048168E+00,3.510632E+04,1.104525E+00,0.000000E+00,0.000000E+00,1.104525E+00,3.195009E+03,1.147176E+00,2.139311E+03,1.217679E+04,3.060209E+00,3.073721E+04,1.104525E+00,0.000000E+00,0.000000E+00,1.104525E+00,3.195009E+03,1.139551E+00,1.957802E+03,1.197302E+04
01:30:00,1.970124E+00,3.544312E+04,1.104525E+00,0.000000E+00,0.000000E+00,1.104525E+00,3.307478E+03,1.104525E+00,1.021101E+03,1.070651E+04,2.048318E+00,3.510567E+04,1.104525E+00,0.000000E+00,0.000000E+00,1.104525E+00,3.307478E+03,1.153625E+00,2.160053E+03,1.198631E+04,3.062059E+00,3.072923E+04,1.104525E+00,0.000000E+00,0.000000E+00,1.104525E+00,3.307478E+03,1.138066E+00,1.801516E+03,1.158395E+04
01:40:00,1.970213E+00,3.544273E+04,1.104525E+00,0.000000E+00,0.000000E+00,1.104525E+00,3.419947E+03,1.104525E+00,9.086315E+02,1.036791E+04,2.048468E+00,3.510502E+04,1.104525E+00,0.000000E+00,0.000000E+00,1.104525E+00,3.419947E+03,1.159786E+00,2.177763E+03,1.179374E+04,3.063852E+00,3.072148E+04,1.104525E+00,0.000000E+00,0.000000E+00,1.104525E+00,3.419947E+03,1.136370E+00,1.657934E+03,1.120994E+04
