Time,CORE_BOTTOM:BOULDER ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_BOTTOM:BOULDER ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],CORE_BOTTOM:BOULDER ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_BOTTOM:BOULDER ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],CORE_MID:BOULDER ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_MID:BOULDER ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],CORE_MID:BOULDER ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_MID:BOULDER ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],CORE_TOP:BOULDER ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_TOP:BOULDER ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],CORE_TOP:BOULDER ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_TOP:BOULDER ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_1:BOULDER ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_1:BOULDER ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_1:BOULDER ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_1:BOULDER ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_2:BOULDER ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_2:BOULDER ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_2:BOULDER ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_2:BOULDER ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_3:BOULDER ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_3:BOULDER ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_3:BOULDER ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_3:BOULDER ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_4:BOULDER ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_4:BOULDER ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_4:BOULDER ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_4:BOULDER ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_1:BOULDER ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_1:BOULDER ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_MID_ZN_1:BOULDER ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_1:BOULDER ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_2:BOULDER ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_2:BOULDER ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_MID_ZN_2:BOULDER ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_2:BOULDER ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_3:BOULDER ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_3:BOULDER ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_MID_ZN_3:BOULDER ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_3:BOULDER ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_4:BOULDER ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_4:BOULDER ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_MID_ZN_4:BOULDER ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_4:BOULDER ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_1:BOULDER ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_1:BOULDER ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_1:BOULDER ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_1:BOULDER ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_2:BOULDER ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_2:BOULDER ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_2:BOULDER ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_2:BOULDER ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_3:BOULDER ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_3:BOULDER ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_3:BOULDER ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_3:BOULDER ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_4:BOULDER ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_4:BOULDER ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_4:BOULDER ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_4:BOULDER ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s]
00:10:00,6.237474E+03,1.741667E+03,2.109276E-01,1.227687E-01,7.611537E+03,6.882011E+03,2.573932E-01,4.851178E-01,2.431889E+04,7.405784E+03,8.223722E-01,5.220362E-01,8.813504E+03,0.000000E+00,2.979677E-01,0.000000E+00,5.838583E+03,0.000000E+00,1.973898E-01,0.000000E+00,8.726368E+03,0.000000E+00,2.950217E-01,0.000000E+00,5.872421E+03,0.000000E+00,1.985337E-01,0.000000E+00,9.340614E+03,4.102484E+02,3.157889E-01,2.900350E-02,6.185991E+03,2.280883E+02,2.091353E-01,1.618287E-02,9.249656E+03,3.825964E+02,3.127137E-01,2.709984E-02,6.204361E+03,1.046786E+02,2.097564E-01,7.378739E-03,1.314226E+04,1.581842E+02,4.443208E-01,1.115858E-02,8.596366E+03,2.623262E+02,2.906286E-01,1.852702E-02,1.306574E+04,2.830405E+02,4.417338E-01,1.997196E-02,8.601670E+03,1.484255E+02,2.908079E-01,1.046254E-02
00:20:00,6.243064E+03,1.807102E+03,2.111166E-01,1.273813E-01,7.615707E+03,6.982053E+03,2.575342E-01,4.921687E-01,2.434920E+04,7.420254E+03,8.233972E-01,5.230549E-01,8.814150E+03,0.000000E+00,2.979896E-01,0.000000E+00,5.838991E+03,0.000000E+00,1.974035E-01,0.000000E+00,8.727015E+03,0.000000E+00,2.950435E-01,0.000000E+00,5.872828E+03,0.000000E+00,1.985475E-01,0.000000E+00,9.341568E+03,4.012829E+02,3.158212E-01,2.838255E-02,6.186593E+03,2.280883E+02,2.091556E-01,1.618287E-02,9.250613E+03,3.825964E+02,3.127460E-01,2.709984E-02,6.204963E+03,9.486717E+01,2.097767E-01,6.687138E-03,1.314873E+04,1.498996E+02,4.445398E-01,1.057461E-02,8.600453E+03,2.425232E+02,2.907668E-01,1.716366E-02,1.307226E+04,4.015329E+02,4.419543E-01,2.837466E-02,8.605757E+03,1.284963E+02,2.909461E-01,9.057718E-03
00:30:00,6.248541E+03,1.859839E+03,2.113018E-01,1.310988E-01,7.619866E+03,7.070329E+03,2.576748E-01,4.983900E-01,2.437848E+04,7.421879E+03,8.243873E-01,5.231682E-01,8.814785E+03,0.000000E+00,2.980110E-01,0.000000E+00,5.839392E+03,0.000000E+00,1.974171E-01,0.000000E+00,8.727652E+03,0.000000E+00,2.950651E-01,0.000000E+00,5.873229E+03,0.000000E+00,1.985611E-01,0.000000E+00,9.342518E+03,4.012829E+02,3.158533E-01,2.838255E-02,6.187193E+03,2.184689E+02,2.091759E-01,1.551345E-02,9.251566E+03,3.718542E+02,3.127782E-01,2.635499E-02,6.205562E+03,8.304963E+01,2.097970E-01,5.854120E-03,1.315498E+04,2.669140E+02,4.447509E-01,1.886444E-02,8.604392E+03,2.425232E+02,2.908999E-01,1.716366E-02,1.307855E+04,4.015329E+02,4.421668E-01,2.837466E-02,8.609695E+03,1.061444E+02,2.910792E-01,7.482115E-03
00:40:00,6.253908E+03,1.902530E+03,2.114833E-01,1.341081E-01,7.624013E+03,7.148882E+03,2.578151E-01,5.039258E-01,2.440678E+04,7.413336E+03,8.253442E-01,5.225646E-01,8.815411E+03,0.000000E+00,2.980322E-01,0.000000E+00,5.839786E+03,0.000000E+00,1.974304E-01,0.000000E+00,8.728279E+03,0.000000E+00,2.950863E-01,0.000000E+00,5.873624E+03,0.000000E+00,1.985744E-01,0.000000E+00,9.343466E+03,3.850351E+02,3.158853E-01,2.726370E-02,6.187790E+03,2.184689E+02,2.091961E-01,1.551345E-02,9.252516E+03,3.718542E+02,3.128104E-01,2.635499E-02,6.206160E+03,6.970544E+01,2.098172E-01,4.913488E-03,1.316100E+04,2.623080E+02,4.449545E-01,1.853977E-02,8.608191E+03,2.167783E+02,2.910284E-01,1.538771E-02,1.308461E+04,3.627247E+02,4.423717E-01,2.570662E-02,8.613493E+03,8.179849E+01,2.912076E-01,5.765961E-03
00:50:00,6.259168E+03,1.937168E+03,2.116612E-01,1.365497E-01,7.628149E+03,7.219398E+03,2.579549E-01,5.088950E-01,2.443415E+04,7.396725E+03,8.262698E-01,5.213923E-01,8.816026E+03,0.000000E+00,2.980530E-01,0.000000E+00,5.840174E+03,0.000000E+00,1.974436E-01,0.000000E+00,8.728897E+03,0.000000E+00,2.951072E-01,0.000000E+00,5.874012E+03,0.000000E+00,1.985875E-01,0.000000E+00,9.344410E+03,3.850351E+02,3.159173E-01,2.726370E-02,6.188386E+03,2.054341E+02,2.092163E-01,1.460949E-02,9.253463E+03,3.553591E+02,3.128424E-01,2.521553E-02,6.206755E+03,5.522204E+01,2.098373E-01,3.892555E-03,1.316681E+04,3.717264E+02,4.451511E-01,2.631534E-02,8.611857E+03,2.167783E+02,2.911523E-01,1.538771E-02,1.309046E+04,3.627247E+02,4.425695E-01,2.570662E-02,8.617159E+03,5.760696E+01,2.913316E-01,4.060693E-03
01:00:00,6.264324E+03,1.965278E+03,2.118356E-01,1.385312E-01,7.632272E+03,7.283245E+03,2.580943E-01,5.133940E-01,2.446064E+04,7.373748E+03,8.271655E-01,5.197712E-01,8.816632E+03,0.000000E+00,2.980735E-01,0.000000E+00,5.840557E+03,0.000000E+00,1.974565E-01,0.000000E+00,8.729504E+03,0.000000E+00,2.951277E-01,0.000000E+00,5.874394E+03,0.000000E+00,1.986005E-01,0.000000E+00,9.345351E+03,3.644537E+02,3.159491E-01,2.584620E-02,6.188979E+03,2.054341E+02,2.092363E-01,1.460949E-02,9.254407E+03,3.553591E+02,3.128743E-01,2.521553E-02,6.207348E+03,3.991403E+01,2.098573E-01,2.813499E-03,1.317243E+04,3.717264E+02,4.453409E-01,2.631534E-02,8.615397E+03,1.870744E+02,2.912720E-01,1.332637E-02,1.309611E+04,3.172616E+02,4.427605E-01,2.256087E-02,8.620699E+03,1.241600E+02,2.914513E-01,8.756489E-03
01:10:00,6.269557E+03,2.006402E+03,2.120125E-01,1.414299E-01,7.636810E+03,7.359842E+03,2.582478E-01,5.187917E-01,2.448657E+04,7.364072E+03,8.280423E-01,5.190877E-01,8.817268E+03,0.000000E+00,2.980950E-01,0.000000E+00,5.840957E+03,0.000000E+00,1.974700E-01,0.000000E+00,8.730142E+03,0.000000E+00,2.951492E-01,0.000000E+00,5.874795E+03,0.000000E+00,1.986140E-01,0.000000E+00,9.346385E+03,3.644537E+02,3.159840E-01,2.584620E-02,6.189631E+03,1.940092E+02,2.092584E-01,1.382211E-02,9.255444E+03,3.399127E+02,3.129094E-01,2.415636E-02,6.208000E+03,2.784695E+01,2.098794E-01,1.962897E-03,1.317791E+04,3.328238E+02,4.455265E-01,2.364604E-02,8.618857E+03,1.870744E+02,2.913890E-01,1.332637E-02,1.310163E+04,3.172616E+02,4.429471E-01,2.256087E-02,8.624159E+03,1.089857E+02,2.915682E-01,7.686858E-03
01:20:00,6.274690E+03,2.043687E+03,2.121861E-01,1.440581E-01,7.641331E+03,7.432321E+03,2.584007E-01,5.238991E-01,2.451169E+04,7.351014E+03,8.288919E-01,5.181658E-01,8.817894E+03,0.000000E+00,2.981161E-01,0.000000E+00,5.841352E+03,0.000000E+00,1.974834E-01,0.000000E+00,8.730770E+03,0.000000E+00,2.951705E-01,0.000000E+00,5.875189E+03,0.000000E+00,1.986274E-01,0.000000E+00,9.347414E+03,3.475193E+02,3.160188E-01,2.467816E-02,6.190281E+03,1.940092E+02,2.092803E-01,1.382211E-02,9.256477E+03,3.399127E+02,3.129443E-01,2.415636E-02,6.208649E+03,1.086583E+02,2.099013E-01,7.662213E-03,1.318322E+04,3.328238E+02,4.457059E-01,2.364604E-02,8.622204E+03,1.583653E+02,2.915021E-01,1.131899E-02,1.310697E+04,2.736296E+02,4.431277E-01,1.951921E-02,8.627505E+03,1.747475E+02,2.916814E-01,1.234782E-02
01:30:00,6.279724E+03,2.077609E+03,2.123563E-01,1.464492E-01,7.645832E+03,7.501130E+03,2.585529E-01,5.287480E-01,2.453605E+04,7.335194E+03,8.297157E-01,5.170494E-01,8.818510E+03,0.000000E+00,2.981370E-01,0.000000E+00,5.841741E+03,0.000000E+00,1.974965E-01,0.000000E+00,8.731388E+03,0.000000E+00,2.951914E-01,0.000000E+00,5.875578E+03,0.000000E+00,1.986405E-01,0.000000E+00,9.348438E+03,3.475193E+02,3.160534E-01,2.467816E-02,6.190927E+03,1.822645E+02,2.093022E-01,1.300427E-02,9.257506E+03,3.258486E+02,3.129790E-01,2.318517E-02,6.209295E+03,1.006985E+02,2.099232E-01,7.101139E-03,1.318836E+04,2.930180E+02,4.458796E-01,2.088700E-02,8.625441E+03,1.583653E+02,2.916116E-01,1.131899E-02,1.311213E+04,2.736296E+02,4.433024E-01,1.951921E-02,8.630742E+03,1.674938E+02,2.917908E-01,1.183651E-02
01:40:00,6.284661E+03,2.108756E+03,2.125233E-01,1.486447E-01,7.650314E+03,7.566868E+03,2.587045E-01,5.333805E-01,2.455968E+04,7.317120E+03,8.305146E-01,5.157742E-01,8.819118E+03,0.000000E+00,2.981575E-01,0.000000E+00,5.842125E+03,0.000000E+00,1.975095E-01,0.000000E+00,8.731998E+03,0.000000E+00,2.952120E-01,0.000000E+00,5.875962E+03,0.000000E+00,1.986535E-01,0.000000E+00,9.349457E+03,3.315212E+02,3.160879E-01,2.357372E-02,6.191570E+03,1.822645E+02,2.093239E-01,1.300427E-02,9.258529E+03,3.258486E+02,3.130137E-01,2.318517E-02,6.209938E+03,1.809540E+02,2.099449E-01,1.277239E-02,1.319333E+04,2.930180E+02,4.460478E-01,2.088700E-02,8.628576E+03,1.300474E+02,2.917176E-01,9.324837E-03,1.311714E+04,2.295948E+02,4.434715E-01,1.642951E-02,8.633876E+03,2.314225E+02,2.918968E-01,1.638339E-02
